"% V-rep data recorded Tue 08 Nov 2016 12:09:36 AM PST "
"% FREQ =   9.425 "
"% PHASE =   1.920 "
"% MAX_TORQUE = 20, MAX_VEL = 25 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,     2062,      -62,    20025,        0,  -3.445,  -1.590, 0,0,0, 0,0,0,  19.760,  -0.598, 912,   0.100,   0.100,   0.030,   0.001,  -0.000,   0.001,   1.920,   1.920,   0.000,   0.000,   0.198,   0.194,  -0.006,   0.001,  19.760,  19.388,  -0.598,   0.105, 1.57e-05, -1.915e-05, -2.014e-05, 1.855e-05, -3.553e-08, 9.967e-08, -1.096e-06, -3.329e-07, 5.85e-07, -1.351e-06, 2.61e-06, 1.417e-06, 1.287e-06, 1.415e-06, -2.246e-06, -1.368e-06, -1.513e-06, 4.599e-07, -2.572e-06, 2.496e-06, 4.148e-07, -1.73e-06
   10000,     4138,      331,    21008,      984,  -2.094,   0.832,      0,      0,      0,     0,      1,  -4100,  19.905,   3.767, 912,   0.100,   0.100,   0.028,  -0.000,  -0.001,   0.003,   2.014,   2.014,   0.094,   0.094,   0.397,   0.392,   0.032,   0.039,  19.905,  19.845,   3.767,   3.788, 8.129e-06, -1.022e-05, -1.182e-05, 1.265e-05, 4.387e-08, -2.066e-07, -6.806e-08, -5.705e-07, -8.07e-08, 5.625e-07, -1.123e-06, -3.396e-06, -1.256e-06, 7.969e-07, -8.932e-07, 2.466e-07, -1.398e-06, 7.097e-07, -8.125e-07, 9.504e-07, -1.104e-06, 8.26e-07
   20000,     6222,      940,    21991,     1967,  -0.093,  -0.209,   -137,    -74,    248,  -400,    123,  -2056,  19.978,   5.841, 912,   0.100,   0.100,   0.026,  -0.003,  -0.002,   0.006,   2.108,   2.108,   0.188,   0.188,   0.596,   0.593,   0.090,   0.098,  19.978,  20.073,   5.841,   5.944, -2.716e-06, 2.622e-06, -8.74e-06, 8.531e-06, 6.079e-07, 5.76e-07, 3.555e-07, -4.608e-07, 1.115e-08, 1.177e-08, -1.159e-07, 1.119e-06, -6.923e-08, -7.867e-08, -6.972e-08, 1.068e-07, 5.168e-07, -2.914e-08, 6.159e-08, -1.159e-06, -1.153e-06, -8.29e-07
   30000,     8314,     1723,    22975,     2950,  -0.277,  -0.376,   -259,    -62,    273,   -47,   -168,    -39,  20.064,   7.507, 912,   0.100,   0.100,   0.022,  -0.007,  -0.002,   0.008,   2.203,   2.203,   0.283,   0.283,   0.797,   0.792,   0.165,   0.172,  20.064,  19.932,   7.507,   7.384, 6.686e-06, -6.964e-06, -6.676e-06, 6.301e-06, -4.862e-07, 2.241e-07, 3.675e-08, 1.684e-07, -1.084e-07, -3.158e-07, 2.936e-07, 1.978e-06, 1.764e-07, -2.6e-08, 1.391e-07, -1.862e-07, 9.519e-07, -5.377e-07, 8.115e-08, -4.092e-07, -2.596e-07, -3.318e-07
   40000,    10403,     2535,    23958,     3933,  -6.475, -17.301,   -400,    -29,    213,     9,     12,    -58,  20.026,   7.784, 912,   0.100,   0.100,   0.018,   0.000,  -0.000,   0.012,   2.297,   2.297,   0.377,   0.377,   0.997,   0.992,   0.243,   0.255,  20.026,  19.946,   7.784,   8.232, 1.032e-06, -7.507e-06, -2.881e-05, 1.151e-05, 1.853e-06, -9.126e-07, -2.58e-06, -0.001775, -0.0004292, 0.00299, 9.34e-07, -9.898e-08, -1.826e-06, -3.432e-07, -3.105e-07, -3.865e-07, -0.0009915, -0.0002351, 0.002094, 4.211e-08, -2.076e-06, 5.718e-07
   50000,    12491,     3442,    24941,     4916, -30.366, -59.992,    717,    194,    297,    18,     69,     12,  20.020,   8.699, 912,   0.099,   0.100,   0.016,   0.010,  -0.009,   0.013,   2.391,   2.391,   0.471,   0.471,   1.198,   1.189,   0.330,   0.340,  20.020,  19.742,   8.699,   8.507, -1.623e-05, -1.413e-05, -5.555e-05, -4.443e-06, 2.707e-06, 6.083e-07, -6.159e-07, -0.005729, -0.001919, 0.009584, 4.003e-06, -1.815e-06, -4.893e-06, 4.034e-06, 2.653e-06, -1.916e-06, -0.004585, -0.001919, 0.01018, -0.00325, 0.0003611, 0.00438
   60000,    14570,     4360,    25924,     5899,  -0.175,  -4.323,    946,   -860,    130,   457,   -107,  -1126,  19.926,   8.793, 912,   0.096,   0.099,   0.017,   0.044,  -0.041,   0.028,   2.485,   2.485,   0.565,   0.565,   1.397,   1.388,   0.418,   0.429,  19.926,  19.896,   8.793,   8.937, 7.064e-06, -7.238e-06, -1.131e-05, 6.984e-06, 1.148e-06, -1.969e-06, -2.207e-06, -0.0006282, -0.0005447, 0.003566, 7.254e-07, -5.596e-06, -1.811e-06, -0.001444, 0.0002452, 0.003028, 0.001843, 0.0005319, 0.002335, -2.678e-06, -8.351e-07, -4.091e-06
   70000,    16638,     5265,    26907,     6882,  -7.317,   8.486,   3113,  -3042,   1378,  7243,   1633, -14052,  19.833,   8.681, 912,   0.093,   0.099,   0.018,   0.024,  -0.041,   0.047,   2.580,   2.580,   0.660,   0.660,   1.595,   1.587,   0.505,   0.520,  19.833,  19.857,   8.681,   9.139, -1.67e-06, -5.647e-06, 8.76e-06, -2.743e-07, -3.291e-07, 1.789e-07, -7.151e-07, 0.0008338, 6.565e-05, 0.0007333, 7.905e-07, 1.483e-06, 5.492e-07, -0.0007225, 0.0002945, 0.003405, 0.001396, 0.0007881, 0.0006195, -7.072e-07, 1.705e-06, -1.901e-06
   80000,    18725,     6308,    27890,     7865,  -3.415,   7.240,  -1834,     67,   1823,  5872,   -304, -15857,  20.002,   9.997, 912,   0.091,   0.099,   0.019,   0.015,  -0.044,   0.063,   2.674,   2.674,   0.754,   0.754,   1.795,   1.785,   0.605,   0.613,  20.002,  19.851,   9.997,   9.263, -1.029e-05, 6.87e-06, 2.961e-06, 4.279e-06, -5.127e-08, 2.166e-07, -1.255e-06, 0.0008691, 0.0004797, 0.0007073, 4.956e-07, 6.52e-06, -1.07e-06, -0.0001246, 6.843e-05, 0.0002242, 5.572e-05, 3.454e-05, 3.128e-05, -8.677e-07, 5.944e-07, 3.134e-07
   90000,    20779,     7272,    28873,     8848,  -5.807,   7.844,   -927,   -239,   1593, -2717,  -1266,  -3956,  19.695,   9.248, 912,   0.089,   0.099,   0.019,   0.009,  -0.032,   0.072,   2.768,   2.768,   0.848,   0.848,   1.992,   1.989,   0.697,   0.707,  19.695,  20.404,   9.248,   9.439, -2.72e-05, 2.139e-05, -7.473e-06, 1.532e-05, 7.473e-07, -1.007e-06, -1.391e-06, 0.0007514, 8.491e-05, 0.0006323, -3.069e-07, -7.601e-07, 2.376e-07, -0.0009267, 0.0009061, 0.00226, 7.588e-07, 9.403e-07, -7.223e-07, -8.232e-07, 2.829e-07, 2.446e-07
