"V-rep data recorded Tue 25 Oct 2016 12:21:03 PM PDT "
"% Right Stride Frequency   = 0"
"% Left Stride Frequency    = 0"
"% Phase (Fractional)   = 0"
"% velroach+telem Vrep sim"
"Motor Gains = [ 1.000,  1.000,  1.000,0,0,  1.000,  1.000,  1.000,0,0]"
"% Columns: "
"% time | LPos | RPos | LRef | RRef | LPWM | RPWM | GyroX | GyroY | GyroZ | AX | AY | AZ | LEMF | REMF | BAT "
       0,     2130,      -78,    20025,        0,    -0.0,    -0.0, 0,0,0, 0,0,0,  20.419,  -0.749, 912
   10000,     4198,      309,    21008,      984,    -0.0,     0.0,      0,      0,      0,     0,      1,  -4100,  19.823,   3.704, 912
   20000,     6316,      934,    21991,     1967,    -0.0,     0.0,   -151,    -66,    253,  -402,    119,  -2065,  20.306,   5.992, 912
   30000,     8411,     1704,    22975,     2950,     0.0,    -0.0,   -275,    -59,    268,   -51,   -172,    -14,  20.084,   7.389, 912
   40000,    10475,     2496,    23958,     3933,    -0.0,    -0.0,   -405,    -18,    211,    14,     23,    -68,  19.794,   7.590, 912
   50000,    12568,     3246,    24941,     4916,    -0.0,    -0.1,    720,    201,    300,    26,     80,      2,  20.060,   7.191, 912
   60000,    14679,     4417,    25924,     5899,    -0.0,    -0.0,   1008,   -882,    176,   454,   -131,  -1090,  20.239,  11.228, 912
   70000,    16742,     5362,    26907,     6882,    -0.0,     0.0,   2718,  -3066,   1515,  7101,   1579, -13884,  19.784,   9.058, 912
   80000,    18801,     6337,    27890,     7865,    -0.0,     0.0,  -1492,     16,   1914,  5916,   -321, -16018,  19.737,   9.345, 912
   90000,    20884,     7292,    28873,     8848,    -0.0,     0.0,   -857,   -288,   1673, -2735,  -1552,  -4482,  19.974,   9.162, 912
  100000,    22916,     8227,    29856,     9831,    -0.0,     0.0,   -531,   1065,    859, -1347,   -355,  -1668,  19.477,   8.964, 912
  110000,    24986,     9265,    30839,    10814,    -0.0,     0.0,  -1825,    620,    307,  -819,   -185,  -1161,  19.852,   9.949, 912
  120000,    27053,    10218,    31822,    11797,    -0.0,     0.0,  -2125,    364,   -444, -1594,   -291,  -2872,  19.815,   9.132, 912
  130000,    29081,    11204,   -32731,    12780,    -0.0,     0.0,  -1132,    497,   -418, -1211,   -644,  -6041,  19.446,   9.452, 912
  140000,    30905,    12132,   -31748,    13763,    -0.0,     0.0,  -1014,    615,   -528,  -918,    113,  -4565,  17.485,   8.902, 912
  150000,    32430,    13138,   -30765,    14746,    -0.0,     0.0,    233,     -5,  -1319,  -568,   1291,  -3224,  14.620,   9.643, 912
  160000,   -31792,    14112,   -29782,    15729,    -0.0,     0.0,   -388,    778,  -1423,  -255,   1048,  -4061,  12.593,   9.342, 912
  170001,   -30612,    15082,   -28799,    16712,    -0.0,    -0.0,   1011,    278,  -1790,  -102,   1450,  -3103,  11.316,   9.300, 912
  180001,   -29531,    16085,   -27816,    17695,    -0.0,    -0.0,   1275,    341,  -1417,  -443,   1068,  -4146,  10.363,   9.609, 912
  190001,   -28494,    17194,   -26833,    18678,    -0.0,    -0.0,   1292,    234,  -1280,   234,   1049,  -4939,   9.948,  10.632, 912
  200001,   -27443,    18202,   -25850,    19661,    -0.0,    -0.0,   1353,    191,  -1237,  -228,    493,  -3780,  10.069,   9.672, 912
  210001,   -26466,    19242,   -24867,    20644,    -0.0,    -0.0,   1441,     88,  -1148,   119,    255,  -3690,   9.374,   9.970, 912
  220001,   -25477,    20268,   -23884,    21627,    -0.0,     0.0,   1516,    -51,   -990,   255,    -69,  -3891,   9.483,   9.831, 912
