"% V-rep data recorded Tue 08 Nov 2016 01:15:40 PM PST "
"% FREQ =   9.425 "
"% PHASE =   3.142 "
"% MAX_TORQUE = 20, MAX_VEL = 25 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,     1509,     -540,     8193,     8193,   1.952,  -0.255, 0,0,0, 0,0,0,  14.465,  -5.180, 912,   0.100,   0.100,   0.130,  -0.001,  -0.000,  -0.001,   0.785,  -2.969,   0.785,  -2.969,   0.145,  -0.027,  -0.052,  -0.155,  14.465,  -2.720,  -5.180, -15.532, -0.0009625, 0.0009645, -0.0004002, 0.0004, -5.892e-08, 1.781e-06, -8.078e-07, 8.176e-08, 7.213e-08, -9.727e-07, 6.246e-07, 6.098e-06, -1.762e-06, -5.525e-07, -1.478e-06, -2.121e-06, -1.921e-06, 2.47e-06, -2.589e-06, 3.911e-06, 2.452e-06, -1.668e-06
   10000,     2498,    -1636,     8193,     8193,  21.862, -10.984,      0,      0,      0,     0,      1,  -4100,   9.481, -10.511, 912,   0.100,   0.100,   0.128,  -0.000,  -0.001,   0.002,   0.785,  -2.969,   0.785,  -2.969,   0.239,   0.034,  -0.157,  -0.263,   9.481,   6.133, -10.511, -10.747, -0.001592, 0.001614, -0.0006868, 0.0006759, -5.578e-06, 1.294e-06, -3.916e-06, 6.536e-06, -3.205e-07, 2.491e-07, 2.501e-07, -7.379e-06, -1.058e-06, 1.482e-06, -5.574e-07, 4.861e-07, -5.03e-07, -2.854e-06, -4.705e-07, -6.226e-07, -6.713e-06, 2.908e-07
   20000,     3443,    -2810,     8193,     8193,  55.599, -18.314,     97,    -71,    283,   -84,    356,  -2063,   9.057, -11.256, 912,   0.100,   0.100,   0.126,   0.002,  -0.003,   0.008,   0.785,  -2.969,   0.785,  -2.969,   0.330,   0.132,  -0.269,  -0.384,   9.057,   9.776, -11.256, -12.155, -0.001583, 0.001639, -0.0005957, 0.0005774, 4.675e-06, 2.496e-06, 2.295e-06, -6.385e-06, 3.026e-06, 1.955e-06, 3.046e-07, -4.714e-06, -2.512e-06, 1.147e-06, 6.075e-07, 8.47e-07, 3.667e-06, 2.404e-06, 2.447e-07, -3.859e-06, 7.297e-07, -1.151e-06
   30000,     4860,    -3939,     8193,     8193,  36.294, -18.883,    196,   -163,    527,    77,   -457,     22,  13.586, -10.822, 912,   0.100,   0.100,   0.122,   0.002,  -0.004,   0.014,   0.785,  -2.969,   0.785,  -2.969,   0.466,   0.428,  -0.378,  -0.476,  13.586,  29.651, -10.822,  -9.192, -0.0009645, 0.001001, -0.0005547, 0.0005358, -4.083e-06, -3.61e-06, -2.437e-06, 7.146e-07, 1.635e-07, -6.709e-06, 1.044e-06, 6.866e-06, 1.428e-06, -4.373e-07, -1.089e-06, 3.986e-08, -3.305e-06, -1.763e-06, -9.361e-07, 3.403e-06, -2.04e-06, 2.192e-06
   40000,     6243,    -4800,     8193,     8193,   2.280, -29.536,    -42,   -120,    614,   101,   -130,   -252,  13.261,  -8.250, 912,   0.100,   0.100,   0.118,  -0.001,  -0.005,   0.018,   0.785,  -2.969,   0.785,  -2.969,   0.598,   0.635,  -0.460,  -0.586,  13.261,  20.683,  -8.250, -11.018, 3.044e-05, -2.816e-05, -0.0005838, 0.0005542, -3.033e-08, -2.945e-06, -2.136e-06, 1.588e-06, -5.281e-06, 1.738e-06, -4.587e-06, 5.477e-06, -3.662e-06, -4.537e-07, 3.682e-07, -1.791e-07, -5.136e-09, -2.243e-07, 2.538e-07, -2.429e-07, 2.175e-06, -7.547e-07
   50000,     7108,    -5542,     8193,     8193,  16.651, -62.115,   -294,   -108,    404,  -167,   -138,    174,   8.293,  -7.120, 912,   0.100,   0.100,   0.112,  -0.002,  -0.007,   0.022,   0.785,  -2.969,   0.785,  -2.969,   0.681,   0.759,  -0.531,  -0.697,   8.293,  12.403,  -7.120, -11.043, 0.0003535, -0.0003368, -0.000685, 0.0006229, 1.9e-06, 3.274e-06, 4.284e-06, 2.419e-06, 7.03e-06, 1.674e-06, 6.189e-06, -1.013e-05, 2.652e-06, 2.564e-07, 1.321e-06, -6.746e-07, 4.467e-07, -7.083e-07, -1.598e-07, -8.215e-07, 3.441e-06, -1.505e-07
   60000,     7763,    -6846,     8193,     8193,  45.935, -73.247,    -45,   -161,    347,    -4,    294,     67,   6.277, -12.497, 912,   0.100,   0.100,   0.106,  -0.000,  -0.009,   0.027,   0.785,  -2.969,   0.785,  -2.969,   0.744,   0.870,  -0.656,  -0.803,   6.277,  11.099, -12.497, -10.572, 0.0005284, -0.0004824, -0.0006205, 0.0005473, 2.391e-06, -4.992e-06, -1.052e-06, -2.838e-06, -3.422e-06, 1.75e-06, -7.095e-07, -5.298e-07, -2.734e-06, 2.669e-07, -7.034e-09, -1.958e-07, 3.077e-07, 1.364e-06, 4.569e-07, 7.727e-07, -1e-06, -5.858e-07
   70000,     8360,    -7390,     8193,     8193, 134.624, -76.239,    162,   -198,    478,    88,    -56,   -203,   5.723,  -5.217, 912,   0.100,   0.100,   0.099,  -0.000,  -0.012,   0.030,   0.785,  -2.969,   0.785,  -2.969,   0.801,   1.026,  -0.709,  -0.906,   5.723,  15.598,  -5.217, -10.318, 0.0007718, -0.0006372, -0.0005504, 0.0004741, -5.37e-08, 2.207e-06, -6.488e-07, 7.806e-07, 1.694e-06, -5.284e-07, -2.569e-06, 2.861e-06, -7.944e-07, -6.305e-07, -1.171e-07, 2.367e-08, 8.036e-08, -3.323e-06, 5.291e-07, -7.31e-07, -6.525e-07, 4.735e-08
   80000,     8616,    -8573,     8193,     8193, 232.555, -109.896,      8,   -281,    277,   149,   -106,    -86,   2.457, -11.346, 912,   0.100,   0.100,   0.091,   0.002,  -0.016,   0.034,   0.785,  -2.969,   0.785,  -2.969,   0.826,   1.102,  -0.822,  -1.063,   2.457,   7.559, -11.346, -15.697, 0.0009087, -0.0006762, -0.0005343, 0.0004244, -7.452e-07, -1.879e-06, -1.167e-06, -9.076e-07, -3.47e-06, 3.445e-07, 2.209e-06, 2.004e-07, 3.358e-08, -5.971e-07, -5.986e-07, 3.144e-07, 5.54e-07, 3.588e-06, -2.167e-07, 6.385e-09, -1.097e-06, 8.198e-07
   90000,     8798,    -8956,     8193,     8193, 413.308, -191.567,    139,   -395,    312,  -161,     99,     15,   1.747,  -3.666, 912,   0.100,   0.100,   0.081,   0.001,  -0.022,   0.034,   0.785,  -2.969,   0.785,  -2.969,   0.843,   1.227,  -0.859,  -1.170,   1.747,  12.529,  -3.666, -10.733, 0.001081, -0.0006676, -0.0006011, 0.0004095, 1.872e-06, 3.107e-06, 1.113e-06, 1.5e-06, -3.6e-06, -2.676e-06, -6.475e-07, 2.548e-06, -7.729e-07, -4.767e-07, -3.572e-07, 2.455e-07, -8.549e-07, -9.933e-07, -2.586e-07, 3.431e-07, 3.727e-06, -2.979e-06
