"% V-rep data recorded 04/17/17 08:50:46 "
"% FREQ =   9.425 "
"% PHASE =   3.142 "
"% MAX_TORQUE = 20, MAX_VEL = 1145 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,    -2061,      -59,   -32767,        0,   6.636,  -1.319, 0,0,0, 0,0,0, -19.762,  -0.570, 912, 0.09989, 0.09995, 0.02952, -0.0002093, 0.0009712, -0.004947,  -3.142,  -3.142,   0.000,   0.000,  -0.198,  -0.202,  -0.006,   0.002, -19.762, -20.241,  -0.570,   0.188, 2.683e-005, -2.019e-005, -1.684e-005, 1.553e-005, -3.571e-007, 3.496e-007, -1.162e-006, -3.341e-007, 1.352e-007, -1.393e-006, 2.342e-006, 1.752e-006, 1.215e-006, -3.395e-006, -1.806e-006, -2.77e-006, 1.662e-006, 6.497e-007, -1.482e-006, -1.562e-006, 8.969e-007, -1.871e-006
   10000,    -4136,      333,   -31784,      984,  -0.245,   0.594,      0,      0,      0,     0,      1,  -4100, -19.896,   3.759, 912, 0.0998, 0.09992, 0.02805, -0.003042, 0.001446, -0.007604,  -3.047,  -3.047,   0.094,   0.094,  -0.397,  -0.402,   0.032,   0.039, -19.896, -19.983,   3.759,   3.735, 8.484e-006, -8.729e-006, -8.537e-006, 9.131e-006, 4.837e-007, -3.483e-007, 2.565e-007, -4.47e-007, 1.109e-007, 7.402e-007, -1.167e-006, -2.884e-006, -1.026e-006, 1.19e-006, -1.341e-006, 3.603e-007, 1.603e-006, 2.847e-008, -8.321e-008, -6.489e-007, -1.778e-006, -5.754e-007
   20000,    -6209,      949,   -30801,     1967,   0.840,  -0.218,   -266,     44,   -249,   448,    317,  -2058, -19.877,   5.906, 912, 0.09972, 0.09987, 0.02562, -0.00692, 0.001975, -0.009629,  -2.953,  -2.953,   0.188,   0.188,  -0.595,  -0.602,   0.091,   0.099, -19.877, -19.998,   5.906,   5.993, 6e-006, -5.16e-006, -8.211e-006, 7.992e-006, 3.078e-008, 1.374e-007, 1.537e-007, -4.103e-007, 3.038e-007, 1.785e-008, 5.11e-008, 2.994e-007, -2.044e-007, 2.757e-007, -3.338e-007, -2.366e-008, -8.618e-007, -9.875e-007, -3.683e-007, 7.687e-007, -2.201e-007, 1.832e-007
   30000,    -8276,     1711,   -29818,     2950,  -0.252,  -0.294,   -364,     47,   -190,   -78,   -176,    -11, -19.813,   7.300, 912, 0.09966, 0.09982, 0.02221, -0.0124, 0.002631, -0.0116,  -2.859,  -2.859,   0.283,   0.283,  -0.793,  -0.801,   0.164,   0.172, -19.813, -19.920,   7.300,   7.284, 1.662e-008, -2.684e-007, -4.255e-006, 3.962e-006, -1.5e-007, 2.967e-007, 3.692e-008, 6.427e-008, -4.525e-007, -2.543e-007, 1.29e-007, 1.868e-006, 2.218e-007, 4.032e-007, -2.455e-009, 1.001e-008, 3.417e-007, -2.461e-007, -4.6e-008, 1.674e-007, -5.43e-007, 5.393e-008
   40000,   -10360,     2451,   -28835,     3933,   1.170, -18.440,   -515,     57,   -185,   -52,     12,    -70, -19.981,   7.098, 912, 0.09952, 0.09987, 0.01813, 0.001313, 0.005331, -0.01066,  -2.765,  -2.765,   0.377,   0.377,  -0.993,  -1.003,   0.235,   0.252, -19.981, -20.153,   7.098,   8.029, 5.501e-006, -4.331e-006, -1.908e-005, 6.354e-007, 2.078e-006, -1.409e-006, -3.924e-006, -0.001903, -0.0005457, 0.00303, 1.333e-006, -9.817e-008, -3.149e-006, 6.948e-007, -2.902e-007, 6.306e-007, -1.364e-006, -1.592e-007, 7.714e-007, 8.514e-007, -1.644e-006, 2.182e-006
   50001,   -12449,     3394,   -27852,     4916, -38.472, -39.808,   1285,    269,     91,   -72,     53,      1, -20.032,   9.038, 912, 0.09857, 0.09991, 0.01514, 0.09027, 0.03081, 0.007676,  -2.670,  -2.670,   0.471,   0.471,  -1.194,  -1.203,   0.325,   0.333, -20.032, -19.994,   9.038,   8.092, -2.846e-005, -1.002e-005, -3.161e-006, -3.665e-005, 3.906e-006, 1.544e-006, -7.569e-007, -0.00374, -0.003235, 0.005777, 3.094e-006, -4.035e-006, -4.097e-007, 1.123e-006, 3.078e-006, -4.288e-006, -0.005129, -0.001633, 0.006242, -0.0002982, -2.419e-007, 0.0004866
   60000,   -14553,     4375,   -26869,     5899, -30.983, -11.815,   8324,   2483,   1763,   316,   -153,  -1224, -20.173,   9.407, 912, 0.09668, 0.09885, 0.01457, 0.05327, 0.05046, 0.0268,  -2.576,  -2.576,   0.565,   0.565,  -1.395,  -1.404,   0.419,   0.428, -20.173, -20.119,   9.407,   9.480, -2.54e-005, -5.581e-006, -3.862e-005, 2.681e-005, -6.22e-007, -4.147e-006, -2.615e-006, -0.001016, -0.001731, 0.005965, -2.249e-005, 1.493e-005, 0.0003967, -4.618e-005, 7.776e-005, 0.0001299, -0.01036, 0.004789, 0.008719, -0.0004272, -0.0002217, 0.001404
   70001,   -16624,     5349,   -25886,     6882,   6.042,  16.802,  -3454,   1873,   1689,  3003,    944,  -8136, -19.855,   9.344, 912, 0.0949, 0.0985, 0.01562, 0.06613, 0.05711, 0.02493,  -2.482,  -2.482,   0.660,   0.660,  -1.594,  -1.604,   0.513,   0.521, -19.855, -20.027,   9.344,   9.324, 4.352e-006, 1.69e-006, -1.34e-006, 1.814e-005, -5.589e-007, 1.03e-006, -1.307e-006, 0.002012, 0.0007015, 0.00208, 4.362e-006, 6.01e-006, -3.642e-006, 2.878e-007, -1.272e-006, 1.956e-006, -0.0006082, 0.0005636, 0.0003389, 0.000795, -0.000469, 0.0005332
   80000,   -18720,     6335,   -24903,     7865,   4.256,   7.891,   1222,    593,   -114,  4575,    896, -14478, -20.096,   9.450, 912, 0.09373, 0.09825, 0.01636, 0.09748, 0.03796, 0.01505,  -2.388,  -2.388,   0.754,   0.754,  -1.795,  -1.805,   0.607,   0.615, -20.096, -20.096,   9.450,   9.358, -1.182e-005, 1.608e-005, -1.009e-005, 1.798e-005, -1.316e-006, -7.993e-008, 3.62e-007, 0.0007353, 0.0001318, 0.0006449, -2.619e-007, -1.285e-006, -1.727e-006, 4.596e-005, -0.0001216, 0.0001683, -0.0001548, 0.0007229, 0.002139, 0.0003873, -4.241e-005, 0.0002383
   90001,   -20652,     7275,   -23920,     8848,  15.317,   0.387,   2896,  -1867,   -759,   298,  -2174, -10912, -18.524,   9.015, 912, 0.09289, 0.09819, 0.01668, 0.09748, 0.0077, 0.01398,  -2.293,  -2.293,   0.848,   0.848,  -1.980,  -1.987,   0.697,   0.709, -18.524, -18.127,   9.015,   9.395, -2.481e-005, 4.012e-005, -1.162e-005, 1.201e-005, -2.077e-007, 6.559e-007, 7.638e-007, -4.171e-006, -1.033e-005, 9.622e-005, -2.108e-007, -3.651e-006, 6.082e-007, 0.0008128, -0.0005153, 0.0007425, -0.0006644, 0.00132, 0.002187, -1.335e-006, -3.078e-006, -1.909e-006
  100001,   -21586,     8237,   -22937,     9831,  22.327,  -5.651,    -42,  -2840,   -100, -1929,   -154,  -3483,  -8.950,   9.223, 912, 0.09207, 0.09822, 0.01647, 0.09052, -0.01767, 0.01924,  -2.199,  -2.199,   0.942,   0.942,  -2.070,  -2.068,   0.790,   0.802,  -8.950,  -8.127,   9.223,   9.276, -2.374e-005, 4.607e-005, -1.6e-005, 1.035e-005, 1.202e-006, -4.125e-008, -7.821e-007, -0.000741, -6.798e-005, 0.001261, 5.918e-007, 6.815e-008, -1.048e-007, 0.001578, 0.0007056, 0.001568, -0.0003777, 0.0004988, 0.0007887, -1.944e-007, 1.555e-006, -1.899e-007
  110000,   -21702,     9224,   -21954,    10814,  26.062,  -5.665,   -687,  -2372,    489, -1156,  -1724,  -2467,  -1.116,   9.463, 912, 0.09115, 0.09857, 0.01622, 0.08451, -0.03131, 0.03065,  -2.105,  -2.105,   1.037,   1.037,  -2.081,  -2.078,   0.884,   0.895,  -1.116,  -1.026,   9.463,   9.344, -1.207e-005, 3.813e-005, -1.492e-005, 9.251e-006, 5.896e-007, 1.812e-007, -1.192e-006, -0.0007262, -0.0002764, 0.001617, 3.644e-007, 1.396e-006, 2.74e-007, 0.002135, 0.001208, 0.001653, -0.0004888, 0.0001783, 0.001333, 1.545e-007, 9.902e-007, -2.03e-007
  120000,   -21397,    10181,   -20971,    11797,  18.387,   0.099,   -587,  -1269,   1082,  -195,   -838,  -1716,   2.924,   9.176, 912, 0.0903, 0.099, 0.01585, 0.07517, -0.03878, 0.0467,  -2.011,  -2.011,   1.131,   1.131,  -2.051,  -2.049,   0.976,   0.990,   2.924,   2.948,   9.176,   9.469, -1.589e-005, 3.428e-005, -1.172e-005, 1.182e-005, 4.41e-007, -6.852e-007, -1.031e-006, -9.156e-005, -0.0007332, 0.001634, 3.737e-007, -5.101e-007, -7.511e-007, 0.001884, 0.001374, 0.00164, 5.673e-005, -0.0003369, 0.0002795, -2.296e-007, -9.002e-007, -3.43e-007
  130000,   -20805,    11163,   -19988,    12780,   6.809,   2.804,   -897,   -674,   1535,    39,  -1756,  -3548,   5.682,   9.406, 912, 0.08958, 0.09938, 0.01536, 0.0643, -0.04306, 0.06117,  -1.916,  -1.916,   1.225,   1.225,  -1.995,  -1.992,   1.070,   1.084,   5.682,   5.661,   9.406,   9.441, -2.404e-005, 3.085e-005, -9.565e-006, 1.237e-005, -2.467e-007, -1.085e-006, -1.149e-006, 0.0004274, -0.001105, 0.001907, 1.741e-007, -3.916e-007, -1.175e-006, 0.001111, 0.001489, 0.00165, 0.0002727, -0.000745, 0.0006269, -1.092e-006, -1.147e-006, -1.653e-006
  140001,   -20135,    12192,   -19005,    13763,  -4.381,   2.716,  -1037,   -353,   1399,  -523,   -778,  -3427,   6.420,   9.868, 912, 0.089, 0.09962, 0.01489, 0.05619, -0.04769, 0.07119,  -1.822,  -1.822,   1.319,   1.319,  -1.930,  -1.921,   1.169,   1.180,   6.420,   7.058,   9.868,   9.549, -2.4e-005, 1.962e-005, -1.179e-005, 1.45e-005, -9.091e-006, 5.737e-006, 1.843e-005, 0.0006838, -0.001171, 0.002359, 6.293e-007, -7.882e-008, -1.017e-006, 0.0003749, 0.001408, 0.001462, 0.0004367, -0.001379, 0.001177, -2.872e-007, 3.82e-007, -8.471e-007
