"% V-rep data recorded 05/01/17 09:07:04 "
"% FREQ =   9.425 "
"% PHASE = 140.000 "
"% MAX_TORQUE = 20, MAX_VEL = 1145 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,PHASE,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,      140,     2114,      -43,    18461,        0,  -3.581,  -1.824, 0,0,0, 0,0,0,  20.261,  -0.415, 912, 0.1001, 0.09997, 0.02951, 0.001145, -0.0003768, 0.0006694,   1.770,   1.770,   0.000,   0.000,   0.203,   0.199,  -0.004,   0.002,  20.261,  19.906,  -0.415,   0.208, 1.358e-005, -1.716e-005, -1.562e-005, 1.379e-005, -3.569e-009, 1.078e-006, -1.064e-006, -5.851e-007, 5.451e-007, -1.035e-006, 2.735e-006, 1.327e-006, 1.342e-006, 1.551e-006, -2.544e-006, -1.233e-006, -1.942e-006, 8.593e-007, -1.827e-006, 2.983e-006, 1.567e-007, -1.004e-007
   10000,      141,     4202,      343,    29875,      984,  -1.689,   0.882,      0,      0,      0,     0,      1,  -4100,  20.018,   3.696, 912, 0.1002, 0.09996, 0.02805, -0.0004104, -0.00119, 0.003453,   2.864,   2.864,   0.094,   0.094,   0.403,   0.397,   0.033,   0.040,  20.018,  19.779,   3.696,   3.786, 3.217e-006, -4.906e-006, -9.268e-006, 1.015e-005, 2.18e-007, -6.462e-007, 2.211e-007, -4.519e-007, 1.158e-007, 3.319e-007, -1.155e-006, -2.932e-006, -1.046e-006, 7.297e-007, -8.286e-007, 4.914e-007, 5.539e-007, -1.188e-006, -1.799e-007, 1.825e-007, -1.874e-006, 5.445e-007
   20000,      142,     2156,      970,   -24248,     1967,   8.888,   0.002,   -146,    -76,    262,  -395,    125,  -2065, -19.616,   6.012, 912, 0.1001, 0.09999, 0.02559, 0.002418, -0.001156, -7.639e-006,  -2.325,  -2.325,   0.188,   0.188,   0.207,   0.200,   0.093,   0.100, -19.616, -19.725,   6.012,   5.973, -1.311e-005, 2.2e-005, -6.405e-006, 6.408e-006, -3.549e-007, -7.53e-007, -6.862e-008, -4.9e-008, -1.307e-007, 1.291e-008, 9.72e-009, 1.578e-007, -1.441e-007, -4.325e-006, 1.453e-006, -2.148e-006, 4.628e-006, 6.33e-007, 1.603e-007, -4.176e-006, 1.092e-006, -3.55e-006
   30000,      143,       72,     1736,   -12834,     2950,  -0.020,  -0.287,    266,      3,   -325,   -67,   -177,    -26, -19.974,   7.344, 912, 0.1001, 0.09999, 0.02216, 0.003294, -0.0008407, -0.00389,  -1.231,  -1.231,   0.283,   0.283,   0.007,   0.003,   0.166,   0.173, -19.974, -19.673,   7.344,   7.313, -1.894e-005, 1.892e-005, -8.487e-006, 8.199e-006, 2.969e-007, 7.167e-007, 6.883e-008, -6.841e-008, -5.114e-007, -3.413e-007, -1.726e-007, 2.715e-006, -2.814e-007, 3.687e-008, -2.627e-007, -5.927e-007, -4.927e-008, 3.946e-007, -3.782e-007, -5.817e-007, 9.358e-007, -3.968e-007
   40000,      144,     -494,     2585,    -1421,     3933, -18.538, -14.484,     83,     30,   -364,   727,     69,     57,  -5.434,   8.140, 912, 0.1, 0.1, 0.01794, 0.007626, 0.0005675, -0.004471,  -0.136,  -0.136,   0.377,   0.377,  -0.047,  -0.053,   0.248,   0.254,  -5.434,  -5.579,   8.140,   8.134, -1.909e-005, 5.515e-007, -2.324e-005, 8.757e-006, 1.626e-006, -1.546e-006, -1.018e-006, -0.001421, -0.0003271, 0.002471, 5.582e-007, 6.383e-007, -1.32e-006, 2.442e-006, -2.819e-007, 1.475e-008, -0.001468, -0.000406, 0.002468, 3.471e-006, -1.461e-006, 1.312e-006
   50001,      145,     1567,     3449,     9993,     4916, -147.006, -63.153,    407,    134,    -54,    30,     81,     -7,  19.759,   8.284, 912, 0.09815, 0.09968, 0.01622, 0.003714, 0.03282, -0.003114,   0.958,   0.958,   0.471,   0.471,   0.150,   0.147,   0.331,   0.343,  19.759,  20.012,   8.284,   8.885, -0.0001396, -7.415e-006, -8.9e-005, 2.584e-005, 4.749e-006, -1.648e-006, -5.72e-006, -0.005909, -0.001404, 0.01029, 5.575e-006, -2.533e-006, 2.579e-007, 1.045e-005, 5.297e-006, -6.382e-006, -0.01248, -0.001128, 0.01523, 7.698e-006, 3.351e-006, 1.401e-007
   60000,      146,     3634,     4417,    21406,     5899, -30.395,   3.252,   -380,   3027,    128,   -36,    -98,   -816,  19.819,   9.278, 912, 0.09431, 0.09957, 0.01757, 0.02794, 0.09198, -0.01693,   2.052,   2.052,   0.565,   0.565,   0.348,   0.345,   0.423,   0.432,  19.819,  19.778,   9.278,   8.896, -2.553e-005, -4.865e-006, -7.778e-006, 1.103e-005, 6.832e-007, -9.904e-007, -1.716e-006, 0.0007621, 0.0005466, 0.003749, 9.145e-005, 0.0001097, 0.0002688, -2.065e-007, -2.353e-006, -1.168e-007, -0.002076, 0.0006164, 0.003571, -0.0002422, -1.732e-005, 0.001196
   70001,      147,     5750,     5373,   -32717,     6882, -37.831,   8.618,   2252,   5561,  -1221,  6927,   1183, -13875,  20.294,   9.165, 912, 0.0912, 0.09945, 0.01889, 0.03633, 0.09994, -0.02943,  -3.137,  -3.137,   0.660,   0.660,   0.551,   0.543,   0.515,   0.523,  20.294,  19.754,   9.165,   9.153, -2.504e-005, -1.28e-005, -8.489e-006, 1.711e-005, -2.361e-006, 1.087e-006, 2.056e-006, 0.000738, 0.0001717, 0.0008262, -2.201e-006, 1.286e-006, -3.563e-006, -1.502e-006, 1.155e-007, -2.094e-007, -3.151e-006, 2.174e-006, -2.226e-006, 0.0008939, -0.001363, 0.001818
   80000,      148,     3622,     6321,   -21303,     7865,   7.481,   2.046,    772,    762,  -1101,  8547,   -179, -16037, -20.410,   9.092, 912, 0.08825, 0.09922, 0.01941, 0.0388, 0.08921, -0.05033,  -2.042,  -2.042,   0.754,   0.754,   0.347,   0.344,   0.606,   0.616, -20.410, -19.901,   9.092,   9.263, 4.274e-006, 3.207e-006, -8.117e-006, 1.016e-005, -3.261e-007, -8.222e-007, -4.569e-007, 0.0001617, 0.000103, 0.0001949, 4.07e-007, -2.711e-007, -4.971e-007, -3.647e-006, 2.599e-006, -2.227e-006, 2.938e-006, -2.333e-006, -6.076e-008, 4.845e-006, -1.839e-005, 1.642e-005
   90001,      149,     1553,     7282,    -9890,     8848,   0.535,   1.653,    261,  -1000,  -1938, -1639,   -436,  -5226, -19.837,   9.215, 912, 0.08534, 0.09901, 0.01904, 0.04427, 0.07736, -0.07221,  -0.948,  -0.948,   0.848,   0.848,   0.149,   0.143,   0.698,   0.709, -19.837, -20.086,   9.215,   9.277, -5.5e-006, 6.035e-006, -6.855e-006, 8.507e-006, 4.823e-008, -7.841e-008, -2.904e-007, 0.0001536, 5.274e-005, 0.0002082, 2.472e-007, 3.275e-007, -3.294e-007, -7.886e-007, 1.122e-007, -9.498e-007, 1.015e-007, 1.796e-006, -1.387e-007, -4.126e-007, -3.875e-007, -6.818e-007
