"% V-rep data recorded 05/01/17 09:02:35 "
"% FREQ =   9.425 "
"% PHASE = 140.000 "
"% MAX_TORQUE = 20, MAX_VEL = 1145 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,PHASE,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,      140,     2083,      -82,    18461,        0,  -2.779,  -3.195, 0,0,0, 0,0,0,  19.964,  -0.787, 912, 0.1001, 0.09998, 0.02951, 0.001525, -0.000113, 0.000586,   1.770,   1.770,   0.000,   0.000,   0.200,   0.198,  -0.008,   0.002,  19.964,  19.776,  -0.787,   0.183, 8.893e-006, -1.167e-005, -1.545e-005, 1.225e-005, -1.133e-007, 1.01e-006, -1.331e-006, -5.957e-007, 9.838e-007, -1.175e-006, 5.117e-006, 1.346e-006, 2.515e-006, 3.575e-008, -2.059e-006, -1.437e-006, -2.026e-006, 1.171e-007, -1.929e-006, 3.436e-006, 9.637e-007, 9.34e-008
   10000,      141,     4165,      343,    29875,      984,  -3.955,   2.807,      0,      0,      0,     0,      1,  -4100,  19.959,   4.070, 912, 0.1001, 0.09998, 0.02804, -0.0001402, -0.0004009, 0.002913,   2.864,   2.864,   0.094,   0.094,   0.399,   0.397,   0.033,   0.040,  19.959,  19.949,   4.070,   3.867, 6.949e-006, -1.09e-005, -1.161e-005, 1.442e-005, 2.314e-007, -7.553e-007, 4.736e-007, -7.06e-008, -7.006e-007, 6.651e-007, -4.275e-006, -3.166e-006, -3.316e-006, 2.77e-006, -2.125e-006, 8.658e-007, 5.037e-007, -4.099e-007, -3.259e-007, 2.596e-007, -3.772e-006, 1.511e-007
   20000,      142,     2102,      937,   -24248,     1967,   9.391,  -0.116,   -156,    -26,    219,  -260,     92,  -2048, -19.772,   5.695, 912, 0.1001, 0.09999, 0.02558, 0.002335, -0.0007331, 0.0004308,  -2.325,  -2.325,   0.188,   0.188,   0.202,   0.196,   0.090,   0.099, -19.772, -20.099,   5.695,   5.880, 8.99e-006, 4.004e-007, -3.892e-006, 3.776e-006, 3.151e-007, -2.899e-007, 1.366e-007, -3.523e-007, -1.745e-007, -3.098e-007, 5.139e-007, 4.574e-007, -1.291e-007, -4.185e-006, 1.823e-006, -2.487e-006, 3.693e-006, -2.275e-007, 7.374e-008, -4.902e-006, 2.011e-006, -3.55e-006
   30000,      143,      -44,     1722,   -12834,     2950,   3.085,  -0.961,    233,    -31,   -233,   -47,   -156,    -16, -20.580,   7.522, 912, 0.1, 0.09999, 0.02215, 0.003141, -0.000519, -0.003086,  -1.231,  -1.231,   0.283,   0.283,  -0.004,  -0.006,   0.165,   0.172, -20.580, -20.252,   7.522,   7.296, 1.482e-005, -1.174e-005, -6.144e-006, 5.183e-006, -1.205e-007, 4.479e-007, -5.841e-008, -4.413e-007, -2.004e-007, -3.284e-007, 8.828e-007, 2.351e-006, 3.682e-007, -2.43e-006, 7.178e-007, -2.008e-006, 1.798e-007, 5.693e-007, 1.269e-007, 1.292e-007, 1.098e-006, -1.741e-007
   40000,      144,     -582,     2577,    -1421,     3933, -19.329, -12.282,     76,     21,   -330,   488,    103,     32,  -5.156,   8.199, 912, 0.1, 0.1, 0.01789, 0.006692, 0.0004467, -0.003676,  -0.136,  -0.136,   0.377,   0.377,  -0.056,  -0.058,   0.247,   0.254,  -5.156,  -5.200,   8.199,   8.164, -1.269e-005, -6.635e-006, -2.103e-005, 8.748e-006, -5.247e-007, -8.244e-007, -1.52e-006, -0.001353, -0.0003436, 0.003258, -8.361e-007, 1.605e-006, -1.596e-006, 3.52e-006, -2.241e-007, 5.533e-007, -0.001476, -0.0002852, 0.003526, 1.544e-006, -8.127e-007, 1.535e-008
   50001,      145,     1488,     3231,     9993,     4916, -148.648, -62.296,    334,     92,    -55,    41,     38,     -2,  19.845,   6.268, 912, 0.09913, 0.09987, 0.01608, -0.01489, 0.01269, -0.002203,   0.958,   0.958,   0.471,   0.471,   0.143,   0.141,   0.310,   0.339,  19.845,  19.937,   6.268,   8.516, -0.0001363, -1.237e-005, -4.841e-005, -1.389e-005, 6.384e-006, -3.106e-006, -3.482e-006, -0.006331, -0.002071, 0.01787, 2.887e-006, -2.506e-006, -3.806e-006, 1.049e-005, 3.84e-006, -5.077e-006, -0.01298, 0.0005507, 0.02316, 6.44e-006, 2.122e-006, -1.889e-006
   60000,      146,     3513,     4404,    21406,     5899, -68.836,  -8.218,  -2030,   1142,    138,   -78,    -77,   -655,  19.419,  11.252, 912, 0.0966, 0.09995, 0.01845, 0.03607, 0.05769, -0.02002,   2.052,   2.052,   0.565,   0.565,   0.337,   0.339,   0.422,   0.428,  19.419,  19.769,  11.252,   8.853, -3.442e-005, -3.441e-005, -9.513e-006, 1.295e-006, 8.06e-007, -4.449e-006, -7.169e-006, -0.001265, -0.0007835, 0.01108, 5.528e-006, -7.532e-006, -4.114e-006, 3.768e-006, -1.044e-006, -9.239e-007, -0.006158, -0.00118, 0.008455, 3.671e-006, -1.307e-008, 1.678e-006
   70001,      147,     5572,     5336,   -32717,     6882, -15.241,  -3.106,   4772,   4237,  -1612,  3323,     69, -14107,  19.742,   8.932, 912, 0.09398, 0.09992, 0.02083, 0.08933, 0.08759, -0.0448,  -3.137,  -3.137,   0.660,   0.660,   0.534,   0.532,   0.512,   0.521,  19.742,  19.303,   8.932,   9.313, 2.553e-005, -4.077e-005, -1.439e-005, 1.128e-005, -9.058e-007, 3.823e-006, 2.884e-006, -9.846e-006, -3.674e-006, -8.168e-008, -4.503e-007, 4.926e-006, -4.138e-007, -3.102e-006, 1.365e-006, -1.996e-006, 8.417e-006, -3.887e-006, 4.896e-006, -0.0004107, -0.0002273, 0.002293
   80000,      148,     3521,     6345,   -21303,     7865,   5.045,  -1.568,   4926,   2915,  -2039,  6621,   1098, -20729, -19.663,   9.671, 912, 0.0914, 0.0998, 0.02229, 0.1115, 0.09173, -0.06871,  -2.042,  -2.042,   0.754,   0.754,   0.338,   0.332,   0.608,   0.614, -19.663, -19.981,   9.671,   9.298, 1.096e-005, -5.91e-006, -6.355e-006, 4.787e-006, -1.266e-006, 1.142e-006, -4.395e-007, 4.236e-007, 3.127e-008, -5.005e-007, -2.326e-007, 5.647e-006, -8.639e-007, -3.776e-006, 1.701e-006, -2.085e-006, 3.517e-006, -8.641e-007, -3.771e-007, 2.163e-005, -6.802e-005, 7.581e-005
   90001,      149,     1419,     7273,    -9890,     8848,   1.032,   1.489,   2052,    483,  -2063,  1045,    321,  -4276, -20.160,   8.903, 912, 0.08882, 0.09967, 0.02278, 0.1332, 0.09475, -0.09269,  -0.948,  -0.948,   0.848,   0.848,   0.136,   0.131,   0.697,   0.708, -20.160, -20.075,   8.903,   9.404, 3.785e-006, -2.753e-006, -1.041e-005, 1.189e-005, 4.985e-007, -1.254e-006, 2.496e-007, -6.652e-007, 8.199e-007, 4.436e-007, 6.023e-007, -5.395e-006, -4.44e-007, -1.579e-006, 1.075e-007, -1.245e-006, 2.344e-007, -1.896e-007, -2.206e-007, 4.888e-007, -4.458e-007, 4.184e-008
