"% V-rep data recorded Thu 10 Nov 2016 01:04:08 PM PST "
"% FREQ =   0.000 "
"% PHASE =   3.142 "
"% MAX_TORQUE = 20, MAX_VEL = 25 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,    -2108,      -60,   -32767,        0,   5.681,  -1.593, 0,0,0, 0,0,0, -20.210,  -0.576, 912,   0.100,   0.100,   0.030,  -0.000,   0.001,  -0.005,  -3.142,  -3.142,   0.000,   0.000,  -0.202,  -0.206,  -0.006,   0.001, -20.210, -20.594,  -0.576,   0.120, 2.389e-05, -1.821e-05, -2.038e-05, 1.879e-05, -9.064e-08, -7.262e-09, -1.03e-06, -2.697e-07, 5.231e-07, -1.401e-06, 2.599e-06, 1.963e-06, 1.247e-06, -2.176e-06, -1.795e-06, -2.248e-06, 3.074e-06, 3.318e-07, -2.214e-06, -2.666e-06, 1.154e-06, -4.379e-06
   10000,    -4202,      -56,   -32767,        0,   0.677,   1.175,      0,      0,      0,     0,      1,  -4100, -20.077,   0.031, 912,   0.100,   0.100,   0.028,  -0.004,   0.001,  -0.007,  -3.142,  -3.142,   0.000,   0.000,  -0.403,  -0.408,  -0.005,   0.002, -20.077, -20.209,   0.031,   0.070, 1.248e-05, -1.18e-05, -1.057e-05, 1.174e-05, -3.673e-07, -1.663e-07, -1.956e-07, -2.726e-07, -4.094e-08, 6.6e-07, -1.459e-06, -3.176e-06, -1.348e-06, -1.738e-08, -1.409e-06, -4.638e-07, -1.441e-06, 5.556e-07, -8.457e-07, 1.107e-06, -1.598e-06, 1.041e-06
   20000,    -6289,      -69,   -32767,        0,   1.079,   0.047,   -297,     48,   -220,   452,    314,  -2051, -20.015,  -0.121, 912,   0.100,   0.100,   0.026,  -0.008,   0.002,  -0.009,  -3.142,  -3.142,   0.000,   0.000,  -0.603,  -0.608,  -0.007,   0.002, -20.015, -19.997,  -0.121,  -0.021, 8.747e-07, 2.04e-07, -9.157e-06, 9.203e-06, 3.994e-07, 5.079e-07, 3.482e-07, -3.116e-07, 1.838e-07, 1.56e-07, -3.671e-07, 3.483e-07, -1.876e-07, 2.342e-07, -6.838e-07, 1.196e-07, 6.317e-08, -1.245e-07, -1.462e-07, -6.103e-07, -5.861e-07, -6.533e-07
   30000,    -8377,      -56,   -32767,        0,   0.205,   0.053,   -421,     45,   -128,    -6,   -177,    -12, -20.013,   0.128, 912,   0.100,   0.100,   0.022,  -0.014,   0.003,  -0.010,  -3.142,  -3.142,   0.000,   0.000,  -0.803,  -0.809,  -0.005,   0.002, -20.013, -20.133,   0.128,   0.043, 1.053e-05, -1.033e-05, -6.212e-06, 6.265e-06, -5.444e-07, 1.834e-07, 1.034e-08, 2.548e-07, -2.047e-07, -2.14e-07, 2.629e-08, 1.632e-06, 8.075e-08, 4.878e-07, 7.374e-08, -1.705e-08, 6.647e-07, -1.184e-07, 2.29e-07, 2.228e-07, -1.058e-07, 5.53e-08
   40000,   -10434,      -33,   -32767,        0,   1.123, -14.437,   -567,     61,   -106,   -15,     -6,    -50, -19.727,   0.214, 912,   0.099,   0.100,   0.018,  -0.006,   0.004,  -0.009,  -3.142,  -3.142,   0.000,   0.000,  -1.000,  -1.009,  -0.003,   0.002, -19.727, -19.947,   0.214,   0.016, 8.098e-06, -6.975e-06, -2.58e-05, 1.136e-05, 1.047e-06, -8.936e-07, -3.466e-06, -0.001441, -0.0003635, 0.002616, 9.523e-07, 1.159e-07, -2.432e-06, 5.261e-07, -1.893e-07, 5.785e-07, -1.681e-06, -1.997e-06, 5.532e-07, 6.102e-07, -1.324e-06, 2.122e-06
   50000,   -12503,     -145,   -32767,        0, -36.912, -32.241,    803,    186,     50,   -55,     51,     18, -19.837,  -1.073, 912,   0.099,   0.100,   0.015,   0.083,   0.025,   0.002,  -3.142,  -3.142,   0.000,   0.000,  -1.199,  -1.211,  -0.014,  -0.003, -19.837, -20.187,  -1.073,  -0.569, -2.661e-05, -1.03e-05, 3.984e-06, -3.623e-05, 3.946e-06, -3.239e-07, -1.8e-06, -0.003039, -0.002898, 0.005843, 1.283e-06, -4.171e-06, -2.068e-06, 7.858e-07, 2.581e-06, -3.956e-06, -0.004818, -0.001965, 0.006504, -3.143e-05, -1.299e-05, 5.915e-05
   60000,   -14673,     -124,   -32767,        0, -29.873, -16.627,   8303,   1989,   1107,   106,   -119,   -946, -20.798,   0.205, 912,   0.098,   0.099,   0.015,   0.046,   0.035,   0.014,  -3.142,  -3.142,   0.000,   0.000,  -1.407,  -1.411,  -0.012,   0.001, -20.798, -20.014,   0.205,   0.432, -2.224e-05, -7.63e-06, -3.21e-05, 1.547e-05, -1.387e-06, -2.819e-06, -3.169e-06, -0.00141, -0.001518, 0.007277, 4.093e-06, -7.312e-07, -2.654e-06, -0.0001606, 5.28e-05, 0.0003165, -0.01007, 0.00474, 0.01119, -0.001079, 0.0001367, 0.001734
   70000,   -16756,      -45,   -32767,        0,   5.852,  11.625,  -3491,    947,    987,  1683,    970,  -8288, -19.972,   0.755, 912,   0.097,   0.099,   0.016,   0.069,   0.048,   0.014,  -3.142,  -3.142,   0.000,   0.000,  -1.607,  -1.612,  -0.004,   0.001, -19.972, -20.093,   0.755,   0.025, 4.966e-06, 8.861e-07, 5.694e-06, 5.932e-06, -1.351e-06, -1.874e-07, -2.298e-06, 0.0009628, 0.0003608, 0.002332, -1.816e-06, 4.137e-06, -5.983e-06, 6.889e-07, -6.778e-07, 1.656e-06, -0.0005029, 0.001366, 0.001576, 5.205e-05, -0.0001928, 0.0003134
   80000,   -18876,      -66,   -32767,        0,   3.350,   0.183,   2173,   1185,     85,  2573,    982, -16043, -20.329,  -0.204, 912,   0.096,   0.099,   0.018,   0.095,   0.044,   0.009,  -3.142,  -3.142,   0.000,   0.000,  -1.810,  -1.811,  -0.006,   0.001, -20.329, -19.924,  -0.204,   0.008, -1.194e-05, 1.529e-05, -7.484e-06, 7.666e-06, 1.484e-07, -1.708e-07, 1.329e-06, -3.164e-06, 1.581e-06, -4.893e-07, 1.498e-07, -4.965e-06, -4.945e-07, 8.055e-08, -2.06e-08, -4.402e-07, -2.418e-06, -3.986e-07, -2.664e-06, 0.0004453, -0.0002735, 0.0004891
   90000,   -20912,      -89,   -32767,        0,  10.442,   0.451,   2403,   -347,   -289,  -501,  -3888, -12515, -19.519,  -0.219, 912,   0.096,   0.099,   0.018,   0.106,   0.024,   0.006,  -3.142,  -3.142,   0.000,   0.000,  -2.005,  -2.008,  -0.009,   0.001, -19.519, -19.718,  -0.219,   0.006, -2.468e-05, 3.512e-05, -3.452e-06, 3.903e-06, -1.192e-06, 7.971e-07, 9.273e-07, -4.133e-07, 4.499e-07, 2.797e-07, -4.198e-07, -4.667e-07, -8.588e-07, 4.668e-05, -1.617e-06, 0.0001862, -0.0006447, 0.0004889, 0.0008897, 0.0006327, -7.764e-05, 0.0004944
  100000,   -23008,      -55,   -32767,        0,  43.909,  -0.011,   1053,  -1876,   -240,  -768,     42,  -1697, -20.096,   0.334, 912,   0.096,   0.099,   0.018,   0.082,  -0.001,   0.003,  -3.142,  -3.142,   0.000,   0.000,  -2.206,  -2.202,  -0.005,   0.002, -20.096, -19.381,   0.334,   0.023, -2.586e-06, 4.65e-05, -3.173e-06, 3.161e-06, -1.375e-07, 4.992e-07, 6.606e-07, -1.971e-07, -2.766e-07, 3.672e-07, -5.54e-07, 3.845e-06, 1.202e-06, 0.001055, 0.0002287, 0.00111, -0.002697, 0.002133, 0.002441, 0.0001764, 9.47e-05, 0.0001182
  110000,   -25101,      -78,   -32767,        0,  40.343, -13.361,  -2299,  -2336,   -357,  -522,    -13,   -781, -20.060,  -0.223, 912,   0.096,   0.100,   0.017,   0.047,  -0.019,   0.001,  -3.142,  -3.142,   0.000,   0.000,  -2.407,  -2.398,  -0.008,   0.004, -20.060, -19.610,  -0.223,   0.208, 2.922e-07, 4.005e-05, -2.922e-05, 1.586e-05, 7.835e-07, -1.454e-06, -2.684e-06, -0.001326, -0.0001577, 0.002241, 1.158e-06, -1.466e-06, -1.477e-06, 0.002569, 0.0006636, 0.00158, -0.00047, 0.0002728, 0.0002584, 7.059e-08, -1.439e-06, 4.728e-07
  120000,   -27129,      -87,   -32767,        0,  67.857, -21.466,  -3220,  -1675,   -163,  -461,  -1758,  -1921, -19.442,  -0.083, 912,   0.096,   0.100,   0.017,   0.047,  -0.024,   0.017,  -3.142,  -3.142,   0.000,   0.000,  -2.601,  -2.595,  -0.008,   0.001, -19.442, -19.651,  -0.083,  -0.256, 4.585e-05, 2.201e-05, -1.291e-05, -8.561e-06, 1.565e-06, 2.99e-07, -1.733e-06, -0.002075, -0.001021, 0.003524, 9.265e-07, -2.763e-06, -1.089e-06, 0.003889, -0.0005605, 0.002772, -0.0004466, 7.044e-05, 0.0003477, 0.0003046, -0.0003623, 0.0005819
  130000,   -29135,      -88,   -32767,        0,  78.417,  -3.111,    -44,   -547,   1435,  -818,  -1970,  -2766, -19.237,  -0.013, 912,   0.096,   0.101,   0.018,   0.033,  -0.033,   0.043,  -3.142,  -3.142,   0.000,   0.000,  -2.793,  -2.787,  -0.008,   0.001, -19.237, -19.242,  -0.013,  -0.035, 4.143e-05, 3.699e-05, -2.591e-06, -5.201e-07, -1.171e-06, -2.793e-07, -1.059e-06, -0.0005229, -0.001, 0.002089, -5.43e-07, -1.751e-06, -1.13e-06, 0.004412, 0.002303, 0.003193, -1.88e-06, 1.083e-06, -2.267e-06, 0.000408, -0.0004011, 0.0004788
