"% V-rep data recorded 05/17/17 21:52:08 "
"% FREQ =   9.425 "
"% PHASE = 215.000 "
"% MAX_TORQUE = 20, MAX_VEL = 1145 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,     2081,      -25,    14308,        0, -349.214,  -3.677, 0,0,0, 0,0,0,  19.950,  -0.242, 912, 0.1, 0.1, 0.02951, 0.002427, -0.0002525, 0.0008485,   1.372,   1.372,   0.000,   0.000,   0.199,   0.197,  -0.002,   0.002,  19.950,  19.731,  -0.242,   0.234, 0.001713, -0.002062, -0.004481, 0.004478, 0.0006956, -0.0009997, 0.0002715, -0.0001711, 0.002094, 1.629e-005, 0.0004648, -0.003016, -0.001314, 0.006422, 0.0045, 0.0009248, -0.001384, 0.0001081, -0.002762, 0.004234, -0.003232, 0.001597
   10000,     4183,      358,    15291,      984,  15.665, -82.528,      0,      0,      0,     0,      1,  -4100,  20.153,   3.671, 912, 0.1001, 0.09999, 0.02804, -4.082e-005, -0.0005227, 0.001558,   1.466,   1.466,   0.094,   0.094,   0.401,   0.397,   0.034,   0.040,  20.153,  20.003,   3.671,   3.747, 0.001343, -0.001328, -0.00269, 0.002607, -0.0002253, 0.001189, -0.0005069, -0.000606, -0.0006716, -0.0001445, 0.0023, 0.002373, 0.00233, -0.001329, -0.00389, -0.0006276, -0.001261, -0.000575, -0.001047, 0.0009562, 0.004472, 0.0002898
   20000,     6259,      977,    16274,     1967,   7.367,  -5.390,   -231,    -25,     67,  -193,     26,  -2036,  19.905,   5.937, 912, 0.1001, 0.09996, 0.02562, -0.005112, -0.0004222, 0.002211,   1.560,   1.560,   0.188,   0.188,   0.600,   0.598,   0.094,   0.099,  19.905,  20.034,   5.937,   5.919, 0.001495, -0.001488, -0.002341, 0.002336, 0.0001708, 0.0004839, 0.0002934, 0.0003414, -0.000986, -2.915e-005, -0.0002185, 0.001298, 0.0001294, -0.002427, -0.004537, -0.001826, 0.0009368, 0.001246, -0.0001154, -0.001243, -0.003018, -0.001789
   30000,     8356,     1738,    17257,     2950,  41.401,  12.991,   -476,     11,     62,    -3,    -33,    -59,  20.099,   7.293, 912, 0.1002, 0.09994, 0.02222, -0.009471, -0.000292, 0.002776,   1.654,   1.654,   0.283,   0.283,   0.801,   0.797,   0.167,   0.173,  20.099,  19.907,   7.293,   7.354, 0.001326, -0.001285, -0.002418, 0.002431, 0.0005402, -0.0001994, 0.000485, -0.000541, -0.0005683, -0.0002542, -0.001294, 4.448e-007, -0.001653, -0.0004881, 0.001865, -0.001815, 0.001154, -0.0003183, 0.001039, -0.001477, -0.00262, -0.001902
   40000,    10452,     2586,    18240,     3933, -397.884, -902.651,   -409,     14,     54,   -10,      1,    -65,  20.099,   8.127, 912, 0.1002, 0.09994, 0.0179, -0.007234, 0.0008213, 0.003573,   1.749,   1.749,   0.377,   0.377,   1.002,   0.996,   0.248,   0.254,  20.099,  19.939,   8.127,   8.127, 0.0009622, -0.00136, -0.002992, 0.002089, 0.0009555, -0.001275, -0.001193, -0.0956, -0.007816, 0.1121, 0.0001866, -0.001765, -0.001362, 0.0006513, -0.0008443, 0.0004562, -0.04547, -0.003805, 0.05751, -0.0001287, 0.0003885, -6.317e-005
   50001,    12531,     3446,    19223,     4916, -838.477, -5051.368,    211,    104,     75,    -4,     12,    -14,  19.932,   8.247, 912, 0.09913, 0.09968, 0.01436, -0.04205, -0.005855, 0.008501,   1.843,   1.843,   0.471,   0.471,   1.201,   1.194,   0.330,   0.339,  19.932,  19.792,   8.247,   8.544, 0.001441, -0.00228, -0.00518, 0.0001282, 0.002584, 0.006535, 0.003162, -0.5, -0.06868, 0.5957, -0.05394, 0.01793, 0.0607, 0.003216, 0.003703, -0.002051, -0.1146, -0.1089, 0.2507, -0.471, 0.05092, 0.4822
   60000,    14651,     4408,    20206,     5899, -473.655, -2073.818,  -3270,   -614,    461,   250,     45,   -272,  20.326,   9.221, 912, 0.09653, 0.09948, 0.01346, -0.06234, -0.03587, 0.02652,   1.937,   1.937,   0.565,   0.565,   1.405,   1.393,   0.423,   0.428,  20.326,  19.858,   9.221,   8.888, 0.0005791, -0.001053, -0.002571, 0.0004971, -0.02039, 0.101, 0.1218, -0.1061, 0.0227, 0.2709, -0.1239, 0.04552, 0.152, -0.2783, 0.1258, 0.2928, 0.02596, -0.04588, 0.1331, -0.03262, -0.01129, 0.08984
   70001,    16733,     5354,    21189,     6882, -1191.251, -2813.042,  -1928,  -2801,   1703,  4482,    402,  -7438,  19.961,   9.075, 912, 0.09431, 0.09997, 0.01384, -0.06196, -0.04042, 0.02833,   2.031,   2.031,   0.660,   0.660,   1.604,   1.592,   0.513,   0.520,  19.961,  19.945,   9.075,   9.145, -0.0003553, -0.0008359, -0.004143, 0.00133, 0.1088, 0.08223, 0.1182, 0.166, -0.02726, 0.05208, 0.03331, 0.05339, 0.08391, -0.005545, -0.08908, 0.1391, 0.09538, -0.01823, 0.03499, -0.02625, -0.006229, 0.1194
   80000,    18717,     6307,    22172,     7865, -1453.817, -3009.606,     25,   -428,    170,  6786,    336, -15647,  19.016,   9.133, 912, 0.09324, 0.1002, 0.01458, -0.06696, -0.04681, 0.02704,   2.126,   2.126,   0.754,   0.754,   1.794,   1.787,   0.605,   0.612,  19.016,  19.538,   9.133,   9.246, -0.001894, 0.0004403, -0.003886, 0.0008769, 0.1221, 0.1412, 0.1207, 0.1655, -0.08059, 0.03197, 0.02925, 0.02758, 0.06049, -0.001029, -0.2143, 0.1943, 0.05458, 0.02986, 0.02936, 0.002396, -0.01394, 0.02046
   90001,    20469,     7287,    23155,     8848, -788.025, -2537.609,   -485,   -586,   -102, -2428,  -1467,  -9005,  16.805,   9.400, 912, 0.09302, 0.1003, 0.01554, -0.06509, -0.04126, 0.02417,   2.220,   2.220,   0.848,   0.848,   1.962,   1.958,   0.699,   0.705,  16.805,  17.060,   9.400,   9.339, -0.002722, 0.001934, -0.00359, 0.001053, 0.09379, 0.1287, 0.1097, 0.1347, -0.07877, 0.038, 0.0176, 0.03465, 0.03587, 0.03542, -0.1515, 0.1557, 0.01589, 0.009058, 0.01025, -0.06215, -0.01091, 0.03499
  100001,    21892,     8264,    24138,     9831, -571.369, -1534.913,    190,    517,   -277, -4986,   1608,  -5351,  13.641,   9.367, 912, 0.09334, 0.1002, 0.01649, -0.06337, -0.03509, 0.01733,   2.314,   2.314,   0.942,   0.942,   2.099,   2.100,   0.792,   0.799,  13.641,  14.205,   9.367,   9.395, -0.003191, 0.002619, -0.003417, 0.001882, 0.04656, 0.07728, 0.07627, 0.05375, -0.06418, 0.09369, 0.004052, 0.01074, 0.01083, 0.03532, -0.08739, 0.1028, -0.001083, -0.0001237, -0.001522, -0.09923, 0.02574, 0.03677
  110000,    23155,     9245,    25121,    10814, -1191.584, -647.467,    176,    576,   -648, -4004,   1179,  -4575,  12.105,   9.407, 912, 0.09364, 0.1002, 0.01725, -0.06301, -0.02945, 0.01593,   2.408,   2.408,   1.037,   1.037,   2.220,   2.224,   0.886,   0.894,  12.105,  12.349,   9.407,   9.446, -0.00332, 0.002129, -0.003105, 0.002457, 0.006125, 0.01565, 0.01479, -0.03769, -0.04806, 0.1628, 0.0007449, -0.0009315, -0.0007691, 0.01297, -0.02726, 0.05608, -0.001052, -0.0002843, -0.001948, -0.1453, 0.08491, 0.03311
  120000,    24298,    10224,    26104,    11797, -2121.436, -549.026,     43,    529,   -132, -2395,    813,  -3891,  10.956,   9.384, 912, 0.09349, 0.1003, 0.01779, -0.06483, -0.02587, 0.02053,   2.503,   2.503,   1.131,   1.131,   2.329,   2.334,   0.980,   0.988,  10.956,  11.064,   9.384,   9.432, -0.003967, 0.001845, -0.003171, 0.002622, 0.001924, -3.049e-005, 0.0009432, -0.06624, -0.04531, 0.1734, 9.094e-005, -0.0001325, -0.001126, -0.02258, 0.02561, 0.03369, 0.000117, -3.219e-005, -0.001224, -0.1832, 0.08195, 0.02623
  130000,    25368,    11218,    27087,    12780, -2050.884, -408.710,   -165,    339,    438,    16,    130,  -3294,  10.260,   9.527, 912, 0.09283, 0.1005, 0.01805, -0.07198, -0.02475, 0.0258,   2.597,   2.597,   1.225,   1.225,   2.432,   2.439,   1.075,   1.082,  10.260,  10.483,   9.527,   9.429, -0.003544, 0.001493, -0.002958, 0.002549, -7.514e-005, 5.842e-006, -0.0008362, -0.03477, -0.05334, 0.1313, -0.01351, 0.00435, 0.01937, -0.02535, 0.01553, 0.01214, 0.001011, 0.0009134, 3.89e-005, -0.1532, 0.04312, 0.01143
  140001,    26416,    12207,    28070,    13763, -1609.085, -711.418,   -668,    119,    513,  1804,   -576,  -3351,  10.052,   9.487, 912, 0.09191, 0.1007, 0.01795, -0.07767, -0.02892, 0.02801,   2.691,   2.691,   1.319,   1.319,   2.533,   2.540,   1.170,   1.176,  10.052,  10.085,   9.487,   9.398, -0.003241, 0.001632, -0.002807, 0.002095, -0.0007888, -0.0001632, -0.00186, 0.01966, -0.06926, 0.07231, -0.04971, 0.0306, 0.09848, -0.08665, 0.01981, 0.0964, 0.0007314, -0.0003769, -0.0005997, -0.07889, -0.002404, 0.02321
  150001,    27417,    13200,    29053,    14746, -2057.527, -1800.444,   -544,   -377,    221,  2135,   -293,  -3026,   9.592,   9.519, 912, 0.09083, 0.1009, 0.01818, -0.07657, -0.02281, 0.02547,   2.785,   2.785,   1.414,   1.414,   2.628,   2.637,   1.266,   1.269,   9.592,   9.749,   9.519,   9.294, -0.003589, 0.001531, -0.002636, 0.000836, 0.001095, -4.626e-006, -0.002063, 0.06512, -0.06025, 0.02449, -0.1071, 0.1402, 0.2155, -0.2056, -0.05868, 0.2031, 0.0003472, 0.001025, -0.0004989, 0.003568, -0.0009937, 0.003282
