"% V-rep data recorded 03/13/17 01:19:40 "
"% FREQ =   9.425 "
"% PHASE =   4.102 "
"% MAX_TORQUE = 20, MAX_VEL = 1145 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,    -2073,      -23,   -22755,        0, 224.355,   3.052, 0,0,0, 0,0,0, -19.875,  -0.223, 912, 0.09996, 0.1, 0.02949, 0.004439, -0.0002769, -0.001699,  -2.182,  -2.182,   0.000,   0.000,  -0.199,  -0.202,  -0.002,   0.002, -19.875, -20.201,  -0.223,   0.166, 0.002957, -0.002732, -0.004378, 0.004381, 0.0007174, -0.001461, 0.000268, -1.538e-005, 0.001466, 0.0001077, 0.0003999, -0.003023, -0.001462, 0.0003456, 0.004563, -0.001665, 0.002044, 6.26e-005, -0.002506, -0.004117, -0.002842, -0.003632
   10000,    -4159,      352,   -21772,      984,  47.913, -77.470,      0,      0,      0,     0,      1,  -4100, -20.007,   3.588, 912, 0.09993, 0.1, 0.02802, 0.003354, -0.0005867, -0.003137,  -2.087,  -2.087,   0.094,   0.094,  -0.399,  -0.403,   0.034,   0.039, -20.007, -20.063,   3.588,   3.749, 0.0004236, -0.0003757, -0.002951, 0.002873, -0.0002646, 0.001458, -0.0004622, -0.0004139, -7.366e-005, -0.0001437, 0.002202, 0.002612, 0.002352, -0.002318, -0.00481, -0.001781, 0.0005439, -0.0009662, 0.000733, 0.001202, 0.003583, 0.0004281
   20000,    -6226,      974,   -20789,     1967,  38.268, -26.945,   -101,    -29,   -134,   184,     84,  -1984, -19.815,   5.966, 912, 0.0999, 0.09999, 0.02559, 0.0001424, -0.0004491, -0.004624,  -1.993,  -1.993,   0.188,   0.188,  -0.597,  -0.603,   0.093,   0.099, -19.815, -20.073,   5.966,   5.954, 0.000583, -0.0005447, -0.002346, 0.002319, 0.000204, 0.0006017, 0.0003214, -0.0003317, -0.0006469, -0.0001857, 3.331e-005, 0.001218, 0.0002526, -0.0009442, -0.003477, -0.0008299, 0.0003587, 0.0007499, -0.0003379, 0.002718, -0.001098, 0.002083
   30000,    -8332,     1733,   -19806,     2950, -55.269,  30.227,   -301,     12,   -139,   -47,    -56,    -74, -20.192,   7.280, 912, 0.09988, 0.09997, 0.02217, -0.002532, -0.0002605, -0.006104,  -1.899,  -1.899,   0.283,   0.283,  -0.799,  -0.804,   0.166,   0.172, -20.192, -20.060,   7.280,   7.338, 0.0004961, -0.0005514, -0.002356, 0.002386, 0.000492, -0.0004781, 0.0003984, 0.0001087, -0.0005973, -2.267e-005, -0.001194, -0.00059, -0.001694, 0.001706, 0.002814, 0.0007141, -0.0003546, -1.449e-005, -0.0005354, 0.0009424, -0.001872, 0.0004692
   40000,   -10421,     2570,   -18823,     3933, 102.619, -763.175,   -251,     17,   -138,   -20,      3,    -62, -20.023,   8.025, 912, 0.09983, 0.09998, 0.01784, 0.002758, 0.0003077, -0.006649,  -1.805,  -1.805,   0.377,   0.377,  -0.999,  -1.004,   0.246,   0.254, -20.023, -19.979,   8.025,   8.145, 0.001452, -0.00135, -0.002672, 0.001909, 0.001114, -0.0007932, -0.001488, -0.08278, -0.008225, 0.1113, 0.0002772, -0.001064, -0.001715, 0.001015, -0.001689, 0.001509, -0.00119, -0.0006286, 0.0004185, -0.001151, -6.196e-005, -0.001165
   50001,   -12583,     3443,   -17840,     4916, -4320.901, -4490.781,    497,     57,    -51,   -33,      9,    -10, -20.734,   8.368, 912, 0.09912, 0.09995, 0.01409, 0.01999, 0.02058, 0.002269,  -1.710,  -1.710,   0.471,   0.471,  -1.206,  -1.204,   0.330,   0.339, -20.734, -20.063,   8.368,   8.523, -0.001985, -0.002336, -0.004512, 2.076e-005, 0.002037, 0.004185, -0.0003023, -0.4146, -0.1205, 0.5821, 0.0007908, 0.007052, 0.005287, 0.002006, 0.005366, -0.01107, -0.7609, 0.09289, 0.6983, 0.001766, 0.008559, -0.007474
   60000,   -14252,     4383,   -16857,     5899, -1021.173, -534.922,   1606,   1914,    838,   100,     42,   -228, -15.997,   9.014, 912, 0.09655, 0.1002, 0.01453, 0.03612, 0.05416, 0.01529,  -1.616,  -1.616,   0.565,   0.565,  -1.366,  -1.367,   0.420,   0.429, -15.997, -16.217,   9.014,   8.980, 0.0004759, -0.001497, -0.00157, 0.001035, 0.002364, -0.007937, -0.008802, -0.2947, -0.05949, 0.4378, -0.4193, -0.04961, 0.466, 0.002843, -0.003839, 0.001195, -0.5742, 0.391, 0.6321, 0.01735, -0.009094, 0.00931
   70001,   -14881,     5373,   -15874,     6882, 202.747, 550.665,   1521,   3150,   1254,  2419,    139,  -6172,  -6.034,   9.494, 912, 0.09391, 0.1007, 0.01561, 0.05548, 0.07267, 0.02302,  -1.522,  -1.522,   0.660,   0.660,  -1.427,  -1.428,   0.515,   0.521,  -6.034,  -6.164,   9.494,   9.243, 0.0007834, -0.0005807, -0.001796, 0.002346, 0.0003168, 0.001084, 0.0002792, 0.1161, 0.002164, 0.08594, 0.009131, 0.01692, 0.01626, -0.0009511, 0.0009269, -0.0007305, 0.01011, -0.01252, 0.04572, 0.05417, -0.04711, 0.03564
   80000,   -14882,     6351,   -14891,     7865, 154.551, 776.947,   1840,   1711,    825,  8080,  -1756, -21101,  -0.009,   9.371, 912, 0.09172, 0.101, 0.01607, 0.06234, 0.07283, 0.02541,  -1.428,  -1.428,   0.754,   0.754,  -1.427,  -1.429,   0.609,   0.614,  -0.009,  -0.031,   9.371,   9.326, 0.0005528, -0.0003982, -0.002259, 0.003036, 0.0008579, 0.0009177, 0.002467, 0.08695, -0.05003, 0.06842, -0.001705, -0.001178, -0.00318, -0.002135, 0.0005177, -0.003332, 0.0007235, -0.0134, 0.02843, 0.06748, -0.05311, 0.04369
   90001,   -14501,     7319,   -13908,     8848, -92.803, 708.355,    643,      1,    271,   967,  -1215,  -6961,   3.655,   9.285, 912, 0.08988, 0.101, 0.01585, 0.05456, 0.05765, 0.02326,  -1.333,  -1.333,   0.848,   0.848,  -1.390,  -1.391,   0.702,   0.708,   3.655,   3.708,   9.285,   9.384, 0.0006191, -0.0007119, -0.002189, 0.002897, -0.0001669, 0.0008159, 0.0009118, 0.08321, -0.05423, 0.06107, -0.00189, 0.001351, -0.002747, -0.001099, 0.0005207, -0.001242, -0.02815, -0.002401, 0.03302, 0.04416, -0.0003018, 0.02827
