"% V-rep data recorded 03/13/17 02:33:59 "
"% FREQ =   9.425 "
"% PHASE =   0.873 "
"% MAX_TORQUE = 20, MAX_VEL = 1145 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,     2099,      -21,     9103,        0, -346.250,  -2.007, 0,0,0, 0,0,0,  20.116,  -0.208, 912, 0.1, 0.1, 0.02951, 0.002411, -0.0002508, 0.0008233,   0.873,   0.873,   0.000,   0.000,   0.201,   0.197,  -0.002,   0.002,  20.116,  19.732,  -0.208,   0.175, 0.002714, -0.00306, -0.004393, 0.004391, 0.0007398, -0.001136, 0.0003931, -5.657e-005, 0.001637, 0.0002419, 0.0004556, -0.003019, -0.001285, 0.00655, 0.004489, 0.0009629, -0.001763, -0.0002374, -0.002579, 0.003955, -0.003158, 0.001218
   10000,     4182,      352,    10086,      984,  25.871, -72.904,      0,      0,      0,     0,      1,  -4100,  19.971,   3.581, 912, 0.1001, 0.09999, 0.02804, -0.0001148, -0.0004849, 0.001555,   0.967,   0.967,   0.094,   0.094,   0.401,   0.397,   0.034,   0.039,  19.971,  19.939,   3.581,   3.746, 4.356e-005, -1.768e-005, -0.002967, 0.002894, -0.000322, 0.001257, -0.0006026, -0.0003838, -0.0001929, -0.0002669, 0.002181, 0.002376, 0.002315, -0.001461, -0.004469, -0.0008495, -0.0008041, -0.0004859, -0.001044, 0.001132, 0.004073, 0.0004008
   20000,     6281,      974,    11069,     1967,  -1.511, -21.242,   -237,    -21,     69,  -195,     27,  -2038,  20.125,   5.962, 912, 0.1001, 0.09996, 0.02562, -0.005063, -0.0003413, 0.002206,   1.061,   1.061,   0.188,   0.188,   0.602,   0.596,   0.093,   0.099,  20.125,  19.918,   5.962,   5.952, 0.0003491, -0.0003506, -0.002343, 0.002321, 9.469e-005, 0.0005963, 0.0002174, -0.0003915, -0.000734, -0.0001647, -0.0001397, 0.001417, 0.0001614, -0.00248, -0.004176, -0.001865, 0.001006, 0.000844, -7.363e-005, -0.001021, -0.002707, -0.001186
   30000,     8322,     1733,    12052,     2950,  78.787,  25.860,   -464,     15,     62,    -1,    -36,    -55,  19.568,   7.279, 912, 0.1002, 0.09994, 0.02222, -0.00931, -0.0001908, 0.002743,   1.155,   1.155,   0.283,   0.283,   0.798,   0.793,   0.166,   0.172,  19.568,  19.748,   7.279,   7.336, 0.0006342, -0.0005554, -0.002345, 0.002371, 0.0006224, -0.0003972, 0.0004655, 0.0001387, -0.0005601, -3.085e-005, -0.001181, -0.0003253, -0.001732, -0.0005337, 0.002652, -0.001603, 0.001361, 0.0001549, 0.0007762, -0.001697, -0.002239, -0.001738
   40000,    10162,     2566,    13035,     3933, -394.255, -911.585,   -398,     16,     51,   -12,      3,    -69,  17.645,   7.979, 912, 0.1002, 0.09995, 0.01791, -0.005169, 0.0009673, 0.003469,   1.250,   1.250,   0.377,   0.377,   0.974,   0.972,   0.246,   0.253,  17.645,  17.816,   7.979,   8.135, 0.001231, -0.001626, -0.002758, 0.001846, 0.001113, -0.001358, -0.00135, -0.09725, -0.0109, 0.1302, 0.0002424, -0.001434, -0.001576, 0.0002561, -0.001231, 0.0003602, -0.04685, -0.01027, 0.05875, -0.0007893, 0.0004198, -0.0006456
   50001,    11683,     3444,    14018,     4916, -663.990, -5162.310,    390,    108,     69,     0,     10,    -11,  14.579,   8.418, 912, 0.09912, 0.09962, 0.01452, -0.03186, -0.005489, 0.006509,   1.344,   1.344,   0.471,   0.471,   1.120,   1.116,   0.330,   0.338,  14.579,  14.447,   8.418,   8.488, 0.001979, -0.002643, -0.004536, -0.0006261, 0.002266, 0.007372, 0.003145, -0.4832, -0.0848, 0.6824, -0.00851, 0.016, 0.01516, 0.003825, 0.002788, -0.002495, -0.1177, -0.1485, 0.2722, -0.4725, 0.05755, 0.4878
   60000,    13015,     4367,    15001,     5899, -68.219, -5528.037,  -2507,   -597,    284,   258,     69,   -300,  12.769,   8.847, 912, 0.09631, 0.09934, 0.01397, -0.02619, -0.0319, 0.03814,   1.438,   1.438,   0.565,   0.565,   1.248,   1.243,   0.419,   0.428,  12.769,  12.651,   8.847,   8.923, 0.00152, -0.001588, -0.005562, 3.404e-005, 0.01736, 0.01303, 0.01669, -0.5228, -0.02655, 0.8417, -0.02586, 0.009074, 0.03694, -0.2624, 0.129, 0.2743, 0.08328, -0.09464, 0.1074, -0.07756, -0.03223, 0.1557
   70001,    14191,     5347,    15984,     6882, -417.084, 439.451,    517,  -2482,   2967,  4490,    791,  -8079,  11.275,   9.398, 912, 0.09278, 0.09934, 0.01493, -0.02883, -0.02124, 0.06918,   1.532,   1.532,   0.660,   0.660,   1.360,   1.356,   0.513,   0.520,  11.275,  11.362,   9.398,   9.273, 0.001176, -0.001593, -0.001217, 0.001657, 0.006711, 0.0019, 0.004594, 0.08967, 0.03004, 0.2401, 0.003847, -0.003932, 0.0007519, -0.02853, 0.04133, 0.04919, 0.1182, -0.001941, 0.04371, 0.01273, -0.06301, 0.07322
   80000,    15292,     6333,    16967,     7865,  38.619, 1558.676,   -209,   1010,   2922,  7599,    321, -16398,  10.555,   9.458, 912, 0.08985, 0.09935, 0.01556, -0.02057, -0.03031, 0.09713,   1.627,   1.627,   0.754,   0.754,   1.466,   1.462,   0.607,   0.614,  10.555,  10.594,   9.458,   9.341, 0.0008006, -0.000762, -0.001176, 0.002734, 0.0003686, 0.0007226, 0.0003259, 0.2021, 0.00661, 0.07513, 0.0001974, 0.00158, -0.001987, -0.001841, -0.0002902, -0.0006676, 0.08557, -0.03267, 0.03465, 0.00282, -0.01562, 0.02387
   90001,    16347,     7317,    17950,     8848, 105.458, 1439.730,    715,   -903,   2608,  1979,  -1100,  -9732,  10.114,   9.435, 912, 0.08737, 0.09941, 0.01593, -0.02481, -0.0402, 0.1138,   1.721,   1.721,   0.848,   0.848,   1.567,   1.564,   0.702,   0.708,  10.114,  10.192,   9.435,   9.412, 0.0003064, -0.0002009, -0.001777, 0.003216, -0.001688, -0.00122, -0.002121, 0.1735, -0.02665, 0.06676, -0.00173, -0.0002654, -0.001633, -0.1056, 0.09628, 0.1404, 0.06749, -0.02235, 0.02678, 0.001284, 0.001266, -0.001078
