"% V-rep data recorded 02/06/17 09:08:29 "
"% FREQ =   0.000 "
"% PHASE =   3.142 "
"% MAX_TORQUE = 20, MAX_VEL = 1145 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,     -198,      -11,   -32767,        0, 2448.774, -217.128, 0,0,0, 0,0,0, -19.057,  -1.130, 912, 0.09999, 0.1, 0.03, 0.001352, 0.0001868, -0.0005284,  -3.142,  -3.142,   0.000,   0.000,  -0.019,  -0.020,  -0.001,   0.000, -19.057, -19.977,  -1.130,   0.403, 0.0057, -0.003251, -0.005884, 0.005667, 0.002543, -0.03802, -0.001773, 0.001589, 0.03294, -0.002304, 0.01191, 0.01158, 0.01664, -0.03922, 0.09078, 0.02254, 0.03529, 0.1844, -0.02606, -0.002413, -0.01085, 0.02212
    1001,     -416,       -9,   -32767,        0, -1191.943, 211.968,      0,      0,      0,     0,      1,  -4100, -20.916,   0.214, 912, 0.09999, 0.1, 0.02997, 0.003212, -0.0003694, -0.0005861,  -3.142,  -3.142,   0.000,   0.000,  -0.040,  -0.040,  -0.001,   0.000, -20.916, -20.287,   0.214,  -0.129, 0.0002721, -0.001464, -0.005776, 0.005988, 0.001214, 0.005126, -0.006677, 0.001312, 0.001105, -0.00163, -0.004379, -0.04772, -0.01441, 0.04617, -0.02197, -0.06584, -0.008318, -0.255, 0.01255, -0.01278, -0.00128, -0.009655
    2001,     -610,      -11,   -32767,        0, 477.472, -335.240,   1747,   -521,    -53,  3219,   4407,  -2889, -18.534,  -0.206, 912, 0.09999, 0.1, 0.02994, 0.002827, -0.0004807, -0.0008063,  -3.142,  -3.142,   0.000,   0.000,  -0.059,  -0.060,  -0.001,   0.000, -18.534, -20.197,  -0.206,   0.006, 0.00273, -0.002252, -0.005897, 0.005561, -0.008163, 0.02616, 0.00418, -0.002692, -0.01657, -0.0006853, 0.01908, -0.02557, 0.01052, -0.0487, -0.005489, 0.01119, -0.01611, 0.001254, 0.01881, 0.02178, 0.01404, -0.0139
    3001,     -817,      -19,   -32767,        0, 1182.221, -187.499,   -360,   -104,   -206, -2294,  -4484,   5086, -19.915,  -0.783, 912, 0.09998, 0.1, 0.0299, 0.003461, -0.0005517, -0.000996,  -3.142,  -3.142,   0.000,   0.000,  -0.078,  -0.080,  -0.002,   0.000, -19.915, -19.932,  -0.783,   0.171, 0.003696, -0.002513, -0.004517, 0.004329, 0.001171, 0.01646, -0.003176, -0.003667, -0.02777, 0.007176, -0.0006309, 0.03053, -0.0003647, -0.00146, -0.05096, -0.01241, 0.03514, 0.1304, -0.02569, -0.0172, 0.02646, 0.01407
    4001,    -1015,      -27,   -32767,        0, 432.901, 153.048,    595,    -66,   -178,  1256,   2603,  -1715, -18.949,  -0.719, 912, 0.09998, 0.1, 0.02985, 0.003878, -0.0005093, -0.001068,  -3.142,  -3.142,   0.000,   0.000,  -0.097,  -0.100,  -0.003,   0.001, -18.949, -19.685,  -0.719,   0.235, 0.002233, -0.0018, -0.003646, 0.003799, -0.002961, -0.005382, 0.003912, -0.0001174, -0.01775, -0.0009609, -0.00834, 0.05014, 0.006179, -0.0114, -0.04935, 0.01264, -0.00891, -0.06337, 0.007542, 0.002585, 0.008268, -0.01531
    5000,    -1220,      -34,   -32767,        0,  31.011, -56.161,    392,     41,    -67,  -757,  -2635,   -861, -19.679,  -0.721, 912, 0.09998, 0.1, 0.02981, 0.003733, -0.0004552, -0.001092,  -3.142,  -3.142,   0.000,   0.000,  -0.117,  -0.120,  -0.003,   0.001, -19.679, -19.699,  -0.721,   0.206, 0.001117, -0.001086, -0.003207, 0.00315, 0.003028, -0.003063, -0.0006537, 0.003892, 0.00119, -0.005362, -0.003253, 0.02998, 0.005785, 0.0074, -0.03307, -0.002607, -0.01061, -0.03611, 0.006136, -0.01185, 0.001955, -0.01016
    6001,    -1430,      -35,   -32767,        0, 482.128,  89.681,   -136,     51,    -22,  -142,   -311,   -808, -20.116,  -0.065, 912, 0.09997, 0.1, 0.02975, 0.003799, -0.0004019, -0.001128,  -3.142,  -3.142,   0.000,   0.000,  -0.137,  -0.140,  -0.003,   0.001, -20.116, -20.558,  -0.065,   0.122, 0.001699, -0.001217, -0.00323, 0.003319, 0.0009731, 0.009279, 0.003133, 0.003774, 0.007475, -0.00443, 0.00285, -0.007872, -0.004668, 0.002481, 0.01733, 0.009532, 0.01061, 0.05138, -0.01486, -0.01195, -0.007524, -0.007482
    7001,    -1645,      -35,   -32767,        0, -523.569, 110.552,     62,     51,    -33,   647,   1316,  -2830, -20.559,  -0.019, 912, 0.09997, 0.1, 0.02967, 0.004121, -0.0003108, -0.001247,  -3.142,  -3.142,   0.000,   0.000,  -0.158,  -0.160,  -0.003,   0.001, -20.559, -19.803,  -0.019,  -0.048, 0.001032, -0.001556, -0.003657, 0.003768, 0.002256, 0.001736, 0.002077, 0.001998, 0.0147, -0.001894, 0.0004867, -0.03637, -0.00914, 0.01909, 0.03568, 0.001808, -0.006232, -0.002229, -0.002242, -0.008616, -0.02036, -0.01034
    8001,    -1870,      -38,   -32767,        0, -602.569, 132.987,    303,     86,   -112,     5,   -325,    -16, -21.618,  -0.240, 912, 0.09996, 0.1, 0.02959, 0.004303, -0.0002641, -0.001441,  -3.142,  -3.142,   0.000,   0.000,  -0.179,  -0.180,  -0.004,   0.001, -21.618, -19.763,  -0.240,   0.262, 0.001512, -0.002115, -0.003416, 0.003549, 0.003439, -0.01115, 0.001342, -0.001844, 0.01415, 0.003514, -0.003749, -0.03217, -0.01116, 0.01834, 0.03744, 0.004266, -0.01127, -0.0291, 0.002566, -0.001728, -0.02329, -0.007241
    9000,    -2072,      -37,   -32767,        0, -251.046,  59.585,    172,     45,   -182,  -187,   -571,   1600, -19.383,   0.059, 912, 0.09996, 0.1, 0.02949, 0.00442, -0.0002808, -0.001676,  -3.142,  -3.142,   0.000,   0.000,  -0.199,  -0.200,  -0.004,   0.001, -19.383, -19.780,   0.059,   0.002, 0.002577, -0.002828, -0.002929, 0.002988, 0.003656, -0.01764, -0.0002311, -0.004415, 0.008801, 0.00779, -0.008295, -0.004237, -0.01136, 0.008432, 0.02553, 0.005726, 0.003626, 0.01485, -0.0064, -0.0006137, -0.01692, 0.001635
