"% V-rep data recorded 02/13/17 08:16:46 "
"% FREQ =   9.425 "
"% PHASE =   3.142 "
"% MAX_TORQUE = 20, MAX_VEL = 1145 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,    -2034,      -33,   -32767,        0, 256.143, -26.385, 0,0,0, 0,0,0, -19.505,  -0.326, 912, 0.09996, 0.1, 0.02949, 0.004577, -0.0002759, 0.001842,  -3.142,  -3.142,   0.000,   0.000,  -0.195,  -0.201,  -0.003,   0.001, -19.505, -20.079,  -0.326,   0.129, -3.296e-006, 0.0002594, -0.004573, 0.004547, 0.001061, -0.001205, 0.0001846, 0.000217, 0.002045, 0.0002257, 0.0007664, -0.003547, -0.001122, 0.0001512, 0.005021, -0.001286, 0.001988, -0.000641, -0.002844, -0.004378, -0.00378, -0.004091
   10000,    -4134,      349,   -31784,      984,  58.880, -96.450,      0,      0,      0,     0,      1,  -4100, -20.134,   3.663, 912, 0.09992, 0.09998, 0.02802, 0.003799, -0.0005721, 0.01081,  -3.047,  -3.047,   0.094,   0.094,  -0.396,  -0.400,   0.033,   0.039, -20.134, -19.954,   3.663,   3.768, -0.0001036, 0.0001625, -0.002651, 0.002554, 3.963e-005, 0.002001, -0.000471, -0.0001831, -0.000318, -0.0002513, 0.002372, 0.00249, 0.002334, -0.002813, -0.004484, -0.001972, 0.0002109, 0.0003913, 0.000532, 0.001131, 0.003928, 0.0005548
   20000,    -6243,      969,   -30801,     1967,  68.153, -47.779,    -73,    -27,    843,   184,     36,  -1982, -20.218,   5.949, 912, 0.09989, 0.09994, 0.02559, 0.0009332, -0.0004658, 0.02665,  -2.953,  -2.953,   0.188,   0.188,  -0.599,  -0.601,   0.093,   0.099, -20.218, -20.024,   5.949,   5.968, 0.00147, -0.001402, -0.0023, 0.002252, 0.000445, 0.000638, 0.0002945, -0.0001194, -0.0008272, -0.0001529, 0.0001224, 0.0006711, 0.0004228, -0.00121, -0.003546, -0.001107, -0.0001024, 0.0002154, -2.36e-005, 0.002454, -0.001694, 0.001812
   30000,    -8288,     1732,   -29818,     2950, -49.784,   2.655,   -268,     13,   1487,   -35,   -158,    -78, -19.612,   7.316, 912, 0.09987, 0.09989, 0.02217, -0.001189, -0.0004039, 0.04942,  -2.859,  -2.859,   0.283,   0.283,  -0.795,  -0.801,   0.166,   0.172, -19.612, -20.083,   7.316,   7.313, 0.001552, -0.001601, -0.002235, 0.002237, 0.0008157, 5.455e-005, 0.0002798, 0.0003222, -0.0007196, 7.724e-005, -0.0008587, -0.0006903, -0.001445, 0.001816, 0.002811, 0.00051, -0.0007146, 0.0009225, -0.0004352, 0.0008119, -0.002842, 7.904e-005
   40000,   -10377,     2573,   -28835,     3933, 124.430, -635.157,   -198,     12,   2138,   -16,    -93,    -60, -20.025,   8.065, 912, 0.09982, 0.09985, 0.01783, 0.003668, 0.0003319, 0.07985,  -2.765,  -2.765,   0.377,   0.377,  -0.995,  -1.002,   0.247,   0.254, -20.025, -20.014,   8.065,   8.179, 0.000979, -0.0008546, -0.002695, 0.00206, 0.001263, -0.0002837, -0.001345, -0.06543, -0.005039, 0.09474, 0.0004342, -0.0009576, -0.001298, 0.000794, -0.001428, 0.001823, -0.0008469, -0.0009488, -5.729e-005, -0.001483, -0.0005502, -0.001401
   50001,   -12455,     3448,   -27852,     4916, -4231.317, -3473.232,    459,     47,   2857,   -17,    -83,    -14, -19.922,   8.385, 912, 0.09923, 0.09974, 0.0139, 0.006055, 0.01848, 0.1244,  -2.670,  -2.670,   0.471,   0.471,  -1.194,  -1.202,   0.331,   0.339, -19.922, -20.074,   8.385,   8.536, -0.00222, -0.002011, -0.00311, -0.0003627, 0.001597, 0.004303, 0.0004628, -0.306, -0.1074, 0.5013, 0.0004327, 0.007164, 0.005936, 0.001508, 0.006039, -0.01064, -0.7613, 0.1819, 0.6838, 0.002106, 0.008673, -0.007629
   60000,   -14543,     4415,   -26869,     5899, -1001.733, 1228.090,    360,   1681,   4179,    82,    -64,   -187, -20.023,   9.274, 912, 0.09684, 0.1, 0.01434, 0.008992, 0.03576, 0.17,  -2.576,  -2.576,   0.565,   0.565,  -1.394,  -1.403,   0.423,   0.429, -20.023, -20.033,   9.274,   9.047, -9.533e-005, -0.0009064, -0.001367, 0.002595, 0.00215, -0.008296, -0.009318, -0.1844, -0.1111, 0.4113, -0.5344, -0.1001, 0.5968, 0.002129, -0.00593, 2.77e-005, -0.7676, 0.6689, 0.7227, 0.004448, -0.003248, -0.003019
   70001,   -16611,     5377,   -25886,     6882, 278.216, 1063.442,    475,   1576,   4284,  2022,   -238,  -5511, -19.822,   9.216, 912, 0.09421, 0.1005, 0.01569, 0.009417, 0.04447, 0.2075,  -2.482,  -2.482,   0.660,   0.660,  -1.593,  -1.602,   0.515,   0.521, -19.822, -19.982,   9.216,   9.184, 0.0004123, -0.0001341, -0.00153, 0.002594, 0.0006333, 0.002518, 0.0001244, 0.1562, -0.1629, 0.09392, 0.006135, -0.00782, 0.02526, -0.0002191, 0.0003662, -0.0002728, -0.006107, 0.0124, 0.009747, 0.0009352, -0.00893, -0.0008325
   80000,   -18699,     6349,   -24903,     7865,  26.549, 1038.530,    178,    800,   3520,  7793,  -2708, -22186, -20.019,   9.327, 912, 0.0919, 0.1008, 0.01634, 0.02859, 0.05047, 0.244,  -2.388,  -2.388,   0.754,   0.754,  -1.793,  -1.802,   0.609,   0.614, -20.019, -19.971,   9.327,   9.267, -0.0009768, 0.001003, -0.002053, 0.003092, 0.002008, -0.0004144, 0.001114, 0.104, -0.1311, 0.08117, -0.002295, -0.003768, -0.005149, -0.00111, 0.001013, -0.001753, 0.001134, -0.0003465, 0.001513, 0.0008067, -0.001139, 0.0001884
   90001,   -20693,     7313,   -23920,     8848, 424.148, 507.912,   1876,    183,   3514,  1243,  -1195,  -8036, -19.120,   9.242, 912, 0.08985, 0.1009, 0.01625, 0.05114, 0.05168, 0.2808,  -2.293,  -2.293,   0.848,   0.848,  -1.984,  -1.988,   0.701,   0.708, -19.120, -18.546,   9.242,   9.376, -0.002372, 0.002796, -0.002351, 0.002859, -9.001e-005, 0.000626, 0.0006117, 0.06515, -0.0819, 0.06455, -0.001027, 0.001839, -0.001894, 0.0006251, 0.002455, 0.0006802, -0.01873, 0.003687, 0.01587, 0.02975, -0.03738, 0.03078
  100001,   -21572,     8293,   -22937,     9831, 1825.179, 402.329,   2079,   -399,   3570,  -864,   1453,  -1400,  -8.420,   9.392, 912, 0.08803, 0.1008, 0.01578, 0.01936, 0.02902, 0.3154,  -2.199,  -2.199,   0.942,   0.942,  -2.068,  -2.069,   0.795,   0.802,  -8.420,  -8.104,   9.392,   9.427, -0.00215, 0.003975, -0.002161, 0.002563, -0.002459, 0.001371, -7.044e-005, 0.0731, -0.07942, 0.0647, 0.001718, 0.001362, 0.002733, 0.01257, 0.00672, 0.004884, -0.1567, 0.09409, 0.1515, 0.03929, -0.0463, 0.0409
  110000,   -21736,     9277,   -21954,    10814,  38.874, 1119.658,  -3454,  -1215,   3100,  -678,   1074,  -1192,  -1.574,   9.430, 912, 0.08642, 0.1007, 0.01502, 0.01881, -0.002006, 0.3429,  -2.105,  -2.105,   1.037,   1.037,  -2.084,  -2.081,   0.889,   0.896,  -1.574,  -1.279,   9.430,   9.405, -0.002982, 0.003021, -0.001789, 0.002908, -0.001146, -0.00191, -0.003388, 0.1303, -0.08845, 0.0708, -0.1057, -0.02084, 0.1144, -0.05264, 0.0268, 0.09247, -0.02051, -0.003128, 0.02168, 0.001628, -0.007663, 0.002741
  120000,   -21438,    10258,   -20971,    11797, 548.696, 676.501,   -952,  -2752,   2569,  -510,   -246,  -2768,   2.858,   9.413, 912, 0.08478, 0.1004, 0.01446, 0.01814, -0.02993, 0.3592,  -2.011,  -2.011,   1.131,   1.131,  -2.055,  -2.052,   0.983,   0.990,   2.858,   2.946,   9.413,   9.406, -0.002036, 0.002585, -0.002028, 0.002705, -0.124, 0.02092, 0.1329, 0.1548, -0.1087, 0.06696, -0.05926, 0.00188, 0.07923, -0.02361, 0.09792, 0.1274, -0.123, -0.04899, 0.141, 0.0005179, -0.0002673, 0.0007143
  130000,   -20891,    11236,   -19988,    12780, -263.972, -585.993,   -941,  -2447,   1517,  -371,   1026,  -3193,   5.243,   9.370, 912, 0.08337, 0.1001, 0.01458, 0.02055, -0.03009, 0.3713,  -1.916,  -1.916,   1.225,   1.225,  -2.003,  -1.998,   1.077,   1.084,   5.243,   5.423,   9.370,   9.361, -0.001642, 0.001378, -0.0029, 0.002314, -0.004434, 0.06187, 0.08515, 0.1489, -0.101, 0.06039, -0.02508, 0.01972, 0.0412, 0.08242, 0.02369, 0.033, -0.05506, -0.1672, 0.1227, -0.001675, 0.001437, -0.003324
  140001,   -20179,    12204,   -19005,    13763, -424.943, -856.140,    207,    -93,   1138,   117,    495,  -4823,   6.823,   9.286, 912, 0.08264, 0.09978, 0.0146, 0.02904, -0.03338, 0.3806,  -1.822,  -1.822,   1.319,   1.319,  -1.935,  -1.927,   1.170,   1.177,   6.823,   7.043,   9.286,   9.374, -0.001682, 0.001257, -0.002956, 0.0021, 0.03567, 0.06275, 0.09748, 0.1363, -0.08418, 0.05478, 0.008241, 0.009476, 0.02435, 0.04607, 0.05542, 0.05577, 0.01242, -0.1283, 0.08346, 0.001007, 0.0004215, 0.0003352
  150001,   -19318,    13193,   -18022,    14746, -826.716, -1370.813,    631,   -577,    848, -1402,   1216,  -6461,   8.251,   9.477, 912, 0.08244, 0.09958, 0.01462, 0.03422, -0.03128, 0.3795,  -1.728,  -1.728,   1.414,   1.414,  -1.852,  -1.848,   1.265,   1.272,   8.251,   7.920,   9.477,   9.416, -0.00168, 0.0008535, -0.003006, 0.001635, 0.04125, 0.08617, 0.1259, 0.1193, -0.07174, 0.05526, -0.006263, 0.03231, 0.03296, 0.02263, 0.07671, 0.07069, 0.01467, -0.1807, 0.1047, 0.001558, 0.0004195, 0.001202
  160000,   -18439,    14163,   -17039,    15729, -1110.723, -1744.704,    525,      3,   -124, -2804,    874,  -3646,   8.429,   9.301, 912, 0.08274, 0.09945, 0.01477, 0.03988, -0.0268, 0.3741,  -1.634,  -1.634,   1.508,   1.508,  -1.768,  -1.763,   1.358,   1.365,   8.429,   8.465,   9.301,   9.329, -0.001635, 0.0005242, -0.002551, 0.0008062, 0.05662, 0.05388, 0.1114, 0.07915, -0.05885, 0.08445, -0.03947, 0.09828, 0.06988, -0.02584, 0.06921, 0.1024, 0.003874, -0.2162, 0.1298, -0.0007951, 0.0005411, -0.00123
