"% V-rep data recorded 03/13/17 02:26:23 "
"% FREQ =   9.425 "
"% PHASE =   1.047 "
"% MAX_TORQUE = 20, MAX_VEL = 1145 "
"% velroach+telem Vrep sim"
"% Motor Gains = [ 0.005,  0.000,  0.000, 0,0,  0.005,  0.000,  0.000,0,0]"
"% (TODO col descriptions and units) "
time,LPos,RPos,LRef,RRef,LPWM,RPWM,GyroX,GyroY,GyroZ,AX,AY,AZ,LEMF,REMF,BAT,x,y,z,a,b,g,refL,refL1,refR,refR1,posL,posL1,posR,posR1,velL,velL1,velR,velR1,torqueL,torqueL1,torqueR,torqueR1,fRFx,fRFy,fRFz,fRMx,fRMy,fRMz,fRBx,fRBy,fRBz,fLFx,fLFy,fLFz,fLMx,fLMy,fLMz,fLBx,fLBy,fLBz
       0,     2099,      -21,    10923,        0, -346.250,  -2.007, 0,0,0, 0,0,0,  20.116,  -0.208, 912, 0.1, 0.1, 0.02951, 0.002411, -0.0002508, 0.0008233,   1.047,   1.047,   0.000,   0.000,   0.201,   0.197,  -0.002,   0.002,  20.116,  19.732,  -0.208,   0.175, 0.002714, -0.00306, -0.004393, 0.004391, 0.0007398, -0.001136, 0.0003931, -5.657e-005, 0.001637, 0.0002419, 0.0004556, -0.003019, -0.001285, 0.00655, 0.004489, 0.0009629, -0.001763, -0.0002374, -0.002579, 0.003955, -0.003158, 0.001218
   10000,     4182,      352,    11906,      984,  25.871, -72.904,      0,      0,      0,     0,      1,  -4100,  19.971,   3.581, 912, 0.1001, 0.09999, 0.02804, -0.0001148, -0.0004849, 0.001555,   1.141,   1.141,   0.094,   0.094,   0.401,   0.397,   0.034,   0.039,  19.971,  19.939,   3.581,   3.746, 4.356e-005, -1.768e-005, -0.002967, 0.002894, -0.000322, 0.001257, -0.0006026, -0.0003838, -0.0001929, -0.0002669, 0.002181, 0.002376, 0.002315, -0.001461, -0.004469, -0.0008495, -0.0008041, -0.0004859, -0.001044, 0.001132, 0.004073, 0.0004008
   20000,     6281,      974,    12889,     1967,  -1.511, -21.242,   -237,    -21,     69,  -195,     27,  -2038,  20.125,   5.962, 912, 0.1001, 0.09996, 0.02562, -0.005063, -0.0003413, 0.002206,   1.236,   1.236,   0.188,   0.188,   0.602,   0.596,   0.093,   0.099,  20.125,  19.918,   5.962,   5.952, 0.0003491, -0.0003506, -0.002343, 0.002321, 9.469e-005, 0.0005963, 0.0002174, -0.0003915, -0.000734, -0.0001647, -0.0001397, 0.001417, 0.0001614, -0.00248, -0.004176, -0.001865, 0.001006, 0.000844, -7.363e-005, -0.001021, -0.002707, -0.001186
   30000,     8346,     1733,    13872,     2950,  68.439,  25.862,   -464,     15,     62,    -1,    -36,    -55,  19.803,   7.279, 912, 0.1002, 0.09994, 0.02222, -0.009345, -0.0001897, 0.002748,   1.330,   1.330,   0.283,   0.283,   0.800,   0.795,   0.166,   0.172,  19.803,  19.938,   7.279,   7.336, 0.0006074, -0.0005389, -0.002345, 0.002371, 0.0006178, -0.000396, 0.0004695, 0.0001369, -0.0005582, -2.873e-005, -0.001188, -0.0003274, -0.001726, -0.0004515, 0.002546, -0.001636, 0.001257, 0.0001551, 0.0008358, -0.001652, -0.002263, -0.001738
   40000,    10434,     2566,    14855,     3933, -431.876, -916.975,   -401,     16,     52,   -12,      3,    -69,  20.016,   7.979, 912, 0.1002, 0.09994, 0.01791, -0.005846, 0.0009846, 0.003545,   1.424,   1.424,   0.377,   0.377,   1.000,   0.996,   0.246,   0.253,  20.016,  20.114,   7.979,   8.135, 0.001017, -0.001449, -0.002763, 0.001846, 0.001112, -0.001272, -0.00132, -0.09758, -0.01068, 0.1307, 0.0002388, -0.001341, -0.001541, 0.0006262, -0.001576, 0.0007237, -0.04622, -0.008376, 0.05755, -0.000449, -0.0002425, -0.0001974
   50001,    12451,     3450,    15838,     4916, -832.191, -5161.456,    329,    110,     75,    -1,      9,    -12,  19.341,   8.481, 912, 0.09915, 0.09964, 0.01456, -0.0351, -0.007554, 0.007127,   1.518,   1.518,   0.471,   0.471,   1.194,   1.188,   0.331,   0.339,  19.341,  19.114,   8.481,   8.517, 0.001646, -0.002479, -0.004971, -0.00019, 0.002542, 0.006746, 0.003205, -0.4856, -0.08224, 0.6859, -0.01084, 0.01498, 0.01751, 0.003036, 0.002648, -0.002272, -0.1147, -0.1326, 0.2533, -0.4939, 0.05526, 0.5069
   60000,    14180,     4331,    16821,     5899, -698.888, -5611.438,  -2748,   -791,    334,   247,     67,   -316,  16.574,   8.445, 912, 0.09631, 0.09935, 0.0141, -0.03401, -0.03122, 0.03585,   1.613,   1.613,   0.565,   0.565,   1.359,   1.354,   0.415,   0.427,  16.574,  16.633,   8.445,   8.800, 0.0008533, -0.001552, -0.004007, -0.001605, 0.02104, 0.02143, 0.0276, -0.5179, -0.02021, 0.8378, -0.0271, 0.007278, 0.03794, -0.2798, 0.1291, 0.2933, 0.05268, -0.08492, 0.1189, -0.06015, -0.04787, 0.1449
   70001,    15618,     5339,    17804,     6882, -789.058, 383.293,     87,  -2222,   2696,  4424,    675,  -8251,  13.782,   9.663, 912, 0.0928, 0.09932, 0.01508, -0.03399, -0.01888, 0.0654,   1.707,   1.707,   0.660,   0.660,   1.497,   1.492,   0.512,   0.519,  13.782,  13.850,   9.663,   9.271, 0.0006037, -0.001393, -0.0009238, 0.001307, 0.004848, 0.001834, 0.003205, 0.08938, 0.04253, 0.2293, 0.005459, 0.001292, 0.005699, -0.01357, 0.02785, 0.03238, 0.1016, 0.002519, 0.03982, 0.02455, -0.08843, 0.1082
   80000,    16873,     6336,    18787,     7865, -537.703, 1601.871,     43,   1159,   2775,  7720,    515, -16508,  12.039,   9.558, 912, 0.08995, 0.09933, 0.01578, -0.02521, -0.03082, 0.09075,   1.801,   1.801,   0.754,   0.754,   1.618,   1.614,   0.607,   0.613,  12.039,  12.147,   9.558,   9.400, -2.502e-006, -0.0005352, -0.001467, 0.003069, 0.0006656, -0.0004258, 0.0005936, 0.2013, 0.02157, 0.07517, 0.0001076, -1.878e-005, -0.002784, -0.004255, 0.0006628, 0.002599, 0.06617, 0.0284, 0.03207, 0.005619, -0.04867, 0.06592
   90001,    18010,     7313,    19771,     8848, -511.919, 1316.428,    750,  -1173,   2364,  1806,   -820,  -9545,  10.896,   9.365, 912, 0.08751, 0.0995, 0.01628, -0.03208, -0.03818, 0.1041,   1.895,   1.895,   0.848,   0.848,   1.727,   1.725,   0.701,   0.707,  10.896,  11.122,   9.365,   9.398, -0.001008, 0.0004956, -0.001976, 0.003292, -0.001202, -0.0008196, -0.001968, 0.1691, -0.01301, 0.06662, -0.0003384, 0.0004285, 0.0009874, -0.131, 0.09413, 0.1653, 0.04436, -0.003811, 0.01945, -0.0001469, -0.0006764, -0.002344
